"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Methane (CH4) emissions from Agriculture (Mt CO2e)","EN.GHG.CH4.AG.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0014","0.0015","0.0015","0.0015","",
"Africa Eastern and Southern","AFE","Methane (CH4) emissions from Agriculture (Mt CO2e)","EN.GHG.CH4.AG.MT.CE.AR5","","","","","","","","","","","157.6438","159.0797","160.9264","164.2867","167.1873","169.5352","170.6085","174.224","178.2654","182.4322","181.2841","183.1134","187.888","189.5003","188.9106","190.7976","192.0184","189.3501","192.8468","198.0545","201.5088","198.6956","202.8601","199.2276","202.106","205.6161","208.5872","214.5599","222.5217","229.9833","228.6682","233.8876","241.3952","244.6824","249.1598","260.384","261.2446","284.3139","299.2227","301.1773","312.9581","310.7788","318.5998","321.4124","325.823","329.4797","337.3429","335.0855","342.0574","356.478","372.6965","363.5353","369.9206","376.7349","",
"Afghanistan","AFG","Methane (CH4) emissions from Agriculture (Mt CO2e)","EN.GHG.CH4.AG.MT.CE.AR5","","","","","","","","","","","10.5314","10.4704","8.9522","9.336","9.8948","10.5044","10.6644","10.4299","10.3495","10.1118","9.9871","9.9113","9.8163","9.1918","8.0075","7.114","5.8998","6.3956","6.7796","6.6558","6.7415","6.8022","6.8802","6.9464","7.1729","7.4593","8.4812","9.2725","9.8406","10.5828","9.0874","7.5875","9.6905","9.9993","9.9995","9.6611","9.6797","9.9683","10.9941","11.3438","12.9217","12.8496","12.4032","12.1724","12.4746","11.8938","11.5428","11.1979","11.4743","11.6055","11.8094","11.8238","11.9333","12.1522","",
"Africa Western and Central","AFW","Methane (CH4) emissions from Agriculture (Mt CO2e)","EN.GHG.CH4.AG.MT.CE.AR5","","","","","","","","","","","60.8625","62.4572","61.2746","59.1083","57.5773","60.1331","61.8884","64.6819","67.2056","70.5408","73.5598","76.0061","78.0765","77.4571","74.4027","75.2854","76.7217","78.5592","82.2665","86.9658","86.3278","90.37","91.5232","93.539","96.6536","99.0575","101.6572","105.6572","108.1699","112.5009","115.8941","119.6628","123.2265","129.125","133.4729","138.6488","143.0424","145.362","148.7551","152.043","160.9692","169.2986","178.411","185.3093","191.6887","199.686","209.7421","217.6722","224.4597","230.1765","234.1821","245.1239","251.3683","258.4495","",
"Angola","AGO","Methane (CH4) emissions from Agriculture (Mt CO2e)","EN.GHG.CH4.AG.MT.CE.AR5","","","","","","","","","","","3.1457","3.338","3.3977","3.4289","3.414","3.4412","3.2792","3.3477","3.4488","3.5697","3.6861","3.7324","3.7881","3.8338","3.8892","3.9311","3.9891","3.8704","3.7651","3.6633","3.6426","3.7802","3.9258","3.8834","3.9084","3.9343","4.2947","4.5869","5.0042","5.0151","5.192","5.2026","5.1365","5.0811","4.9869","5.4228","5.5257","5.6736","5.8142","6.0182","6.1699","6.3412","6.4263","6.6625","6.8026","6.9594","7.0256","6.8868","6.8335","7.1102","7.1448","7.2239","7.3131","7.398","",
"Albania","ALB","Methane (CH4) emissions from Agriculture (Mt CO2e)","EN.GHG.CH4.AG.MT.CE.AR5","","","","","","","","","","","1.3159","1.2641","1.2402","1.2812","1.3143","1.3353","1.4163","1.4681","1.5573","1.6231","1.676","1.7063","1.721","1.754","1.7513","1.6826","1.776","1.9424","2.0574","2.1244","2.0685","2.0533","2.0285","2.1633","2.7033","2.7875","2.6001","2.4143","2.2883","2.359","2.3928","2.3545","2.3091","2.341","2.2458","2.2002","2.1779","2.0644","1.9492","1.8525","1.8668","1.8729","1.9231","1.9663","2.0053","2.0165","2.0009","1.9533","1.9102","1.7559","1.5737","1.4787","1.35","1.2293","",
"Andorra","AND","Methane (CH4) emissions from Agriculture (Mt CO2e)","EN.GHG.CH4.AG.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Methane (CH4) emissions from Agriculture (Mt CO2e)","EN.GHG.CH4.AG.MT.CE.AR5","","","","","","","","","","","77.3163","78.1636","77.8458","77.7286","77.8924","80.702","81.0766","81.9631","84.6429","86.557","88.6957","90.8519","92.6383","92.4322","92.5003","93.3479","92.4409","94.4307","94.7813","97.1072","98.0244","96.2868","100.0352","104.2074","108.2422","109.4698","112.3384","116.9327","119.0274","124.0135","127.4643","129.7213","132.8675","136.7274","139.4861","142.7407","144.5222","146.4197","146.6275","145.5046","145.7223","147.342","151.3663","151.8246","152.9274","151.4783","152.0374","150.4949","150.1739","147.9683","151.3697","151.2414","154.7163","156.3064","",
"United Arab Emirates","ARE","Methane (CH4) emissions from Agriculture (Mt CO2e)","EN.GHG.CH4.AG.MT.CE.AR5","","","","","","","","","","","0.2094","0.2167","0.2157","0.2362","0.2173","0.1798","0.1158","0.1423","0.1686","0.1687","0.1863","0.1941","0.2068","0.2232","0.2392","0.2558","0.2784","0.2974","0.3166","0.332","0.3551","0.3799","0.4064","0.4346","0.4661","0.4985","0.5347","0.5712","0.6059","0.6478","0.6908","0.7313","0.7717","0.8121","0.8121","0.9311","0.9783","1.0276","1.0829","1.2727","1.1178","1.1161","1.1208","1.2449","1.3399","1.3961","1.4123","1.4441","1.449","1.4745","1.4904","1.5133","1.6039","1.6359","",
"Argentina","ARG","Methane (CH4) emissions from Agriculture (Mt CO2e)","EN.GHG.CH4.AG.MT.CE.AR5","","","","","","","","","","","93.0722","95.0347","99.1286","103.1639","103.1204","105.2778","108.0431","112.6804","107.0714","105.6078","103.6046","101.1485","98.5056","100.1945","101.2702","100.1528","98.6866","97.2142","100.3389","102.3263","103.8273","102.0226","102.6445","100.3833","100.6004","99.1464","96.4668","95.8725","93.11","95.8391","95.2392","95.4053","100.613","107.6135","109.6578","110.4465","112.8891","113.997","112.1315","106.0374","97.2247","95.6315","98.6172","100.837","101.6547","101.0367","102.5871","106.4963","105.9111","106.7413","105.6657","103.5333","104.8903","103.1928","",
