"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Methane (CH4) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CH4.BU.MT.CE.AR5","","","","","","","","","","","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0003","0.0003","0.0004","0.0005","0.0005","0.0005","0.0005","0.0006","0.0005","0.0006","0.0005","0.0006","0.0005","0.0004","0.0004","",
"Africa Eastern and Southern","AFE","Methane (CH4) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CH4.BU.MT.CE.AR5","","","","","","","","","","","17.3108","17.303","17.6778","18.0366","18.4701","18.9968","19.365","19.555","20.0473","20.1858","20.5664","20.9351","21.4959","22.0444","22.7006","23.3471","23.8129","24.4525","25.0983","25.946","26.3358","26.9553","27.7936","28.6887","30.5194","31.6955","32.4391","33.3812","34.2127","35.1343","35.4302","35.8361","36.7771","38.0068","38.8917","39.7368","40.8674","40.959","42.2669","43.1602","42.6113","43.8052","43.668","45.0883","46.3483","47.0279","48.0355","50.5546","49.5564","50.1171","51.1435","52.1409","52.677","52.6861","",
"Afghanistan","AFG","Methane (CH4) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CH4.BU.MT.CE.AR5","","","","","","","","","","","0.0251","0.0256","0.0259","0.0263","0.0275","0.0278","0.0281","0.0285","0.0289","0.0297","0.0301","0.03","0.0296","0.0302","0.0295","0.0345","0.0339","0.0329","0.0326","0.0337","0.0546","0.0557","0.0566","0.061","0.0659","0.0813","0.0876","0.0941","0.0985","0.104","0.1095","0.1121","0.1172","0.12","0.1232","0.1262","0.1291","0.1317","0.1347","0.1381","0.1414","0.1439","0.1468","0.1668","0.1698","0.1735","0.1761","0.1792","0.1827","0.1856","0.1898","0.1937","0.1975","0.1976","",
"Africa Western and Central","AFW","Methane (CH4) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CH4.BU.MT.CE.AR5","","","","","","","","","","","16.6533","16.6616","17.0731","17.4593","17.7787","18.2797","18.7073","19.2506","19.7538","20.2756","20.8049","21.3051","21.8773","22.4404","23.0563","23.7061","24.4091","25.0594","25.7053","26.3745","27.7039","28.3594","28.8482","29.4756","30.0296","30.9485","31.6435","32.4094","33.168","34.0537","33.9717","34.6425","35.4243","36.2091","37.2873","38.2796","39.0003","39.7927","40.7039","41.7333","42.6858","43.8941","45.2975","45.9925","47.1092","47.2776","47.7814","48.3837","48.7944","49.6815","50.5994","51.4814","51.9173","51.9172","",
"Angola","AGO","Methane (CH4) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CH4.BU.MT.CE.AR5","","","","","","","","","","","0.7669","0.7669","0.7711","0.7768","0.7846","0.7947","0.8057","0.8192","0.8355","0.8522","0.8681","0.8826","0.8965","0.9119","0.9268","0.9429","0.959","0.9764","0.9959","1.017","1.0406","1.0649","1.0895","1.1144","1.1367","1.1523","1.1703","1.186","1.2017","1.2164","1.2293","1.2434","1.2571","1.2685","1.2803","1.2914","1.3179","1.3437","1.3707","1.3981","1.4251","1.453","1.4838","1.5139","1.5396","1.5639","1.5885","1.6137","1.6379","1.6634","1.6825","1.7056","1.7457","1.7464","",
"Albania","ALB","Methane (CH4) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CH4.BU.MT.CE.AR5","","","","","","","","","","","0.1672","0.1672","0.169","0.1725","0.1742","0.1762","0.1763","0.178","0.1879","0.1981","0.1955","0.2005","0.2072","0.2147","0.2227","0.231","0.2405","0.2405","0.246","0.2356","0.2732","0.2063","0.1497","0.1385","0.1308","0.1184","0.1166","0.1057","0.1015","0.0714","0.07","0.0697","0.0904","0.0613","0.0814","0.0792","0.0798","0.0746","0.0744","0.0745","0.0724","0.0709","0.0703","0.0687","0.0661","0.0698","0.0608","0.0561","0.0543","0.0538","0.0539","0.0509","0.0494","0.0494","",
"Andorra","AND","Methane (CH4) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CH4.BU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Methane (CH4) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CH4.BU.MT.CE.AR5","","","","","","","","","","","1.9542","1.9609","1.9993","2.044","2.1123","2.1568","2.2265","2.2604","2.3333","2.4156","2.489","2.5556","2.6315","2.7459","2.8032","2.8498","2.9213","2.9783","3.0437","3.109","3.1953","3.2702","3.3472","3.3912","3.5724","3.6794","3.8063","3.9033","4.008","4.1576","4.2439","4.3439","4.4648","4.6463","5.1704","5.3258","5.5294","5.3659","5.4085","5.5283","5.4751","5.4599","5.4629","5.4134","5.3592","5.3409","5.3521","5.3617","5.4332","5.5343","5.6124","5.6714","5.7378","5.7364","",
"United Arab Emirates","ARE","Methane (CH4) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CH4.BU.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0002","0.0002","0.0003","0.0003","0.0004","0.0007","0.0007","0.0007","0.0006","0.0082","0.0068","0.0062","0.0062","0.0047","0.0047","0.0045","0.0046","0.0047","0.005","0.0042","0.0042","0.0061","0.0065","0.0072","0.0085","0.0101","0.0118","0.0123","0.0124","0.0119","0.0125","0.0123","0.0123","0.0123","0.0121","0.0115","0.0109","0.0107","0.0109","0.0146","0.0147","",
"Argentina","ARG","Methane (CH4) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CH4.BU.MT.CE.AR5","","","","","","","","","","","0.1923","0.1923","0.1905","0.1881","0.1846","0.176","0.1561","0.1692","0.1655","0.1669","0.1637","0.1724","0.1662","0.1936","0.2043","0.199","0.1618","0.1769","0.1814","0.1616","0.1523","0.1725","0.2038","0.2276","0.1924","0.1913","0.191","0.1776","0.1874","0.2123","0.2076","0.1726","0.1787","0.2038","0.1998","0.1878","0.1871","0.1975","0.193","0.185","0.1984","0.2055","0.1924","0.2116","0.2083","0.2115","0.2042","0.1965","0.1963","0.1954","0.1914","0.1985","0.1857","0.183","",
