"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CH4.FE.MT.CE.AR5","","","","","","","","","","","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0004","0.0006","0.0004","0.0004","0.0004","0.0004","0.0004","0.0004","0.0004","0.0004","0.0555","0.0554","0.0554","0.0595","0.0665","0.067","0.037","0.0378","0.0339","0.0301","0.0192","0.0261","0.0049","0.0016","0.0021","0.002","0.002","0.0021","0.0021","0.0021","0.0021","0.0022","0.0023","0.0023","",
"Africa Eastern and Southern","AFE","Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CH4.FE.MT.CE.AR5","","","","","","","","","","","33.8947","33.5717","34.1268","35.7472","36.8748","37.4862","43.7256","44.9758","45.6368","49.5382","51.7303","54.0874","56.7334","59.8898","65.4502","68.5591","70.5931","73.1709","76.3766","75.8581","78.9257","78.3189","75.8369","82.1093","96.2435","103.8701","111.8109","116.7351","119.7112","120.4698","118.9865","117.0583","116.047","118.3224","120.7478","120.683","116.5269","116.1229","118.4605","117.9298","125.1621","127.155","136.56","139.578","142.6704","145.0692","142.6783","145.2301","146.0767","145.5025","141.9923","140.1131","144.4455","144.0415","",
"Afghanistan","AFG","Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CH4.FE.MT.CE.AR5","","","","","","","","","","","0.2794","0.2806","0.3012","0.2953","0.3096","0.3152","0.2897","0.2945","0.2934","0.2887","0.325","0.3211","0.3161","0.3276","0.3435","0.4223","0.4301","0.3599","0.3299","0.2439","0.2957","0.2887","0.2671","0.2597","0.2733","0.2799","0.2945","0.3096","0.3231","0.3363","0.3524","0.3809","0.3897","0.3975","0.4001","0.4241","0.4316","0.5501","0.6208","0.6725","0.8139","1.1974","1.0851","1.1494","1.2618","1.1812","1.3559","1.6105","1.7454","1.6065","1.4188","1.5165","1.9703","2.0323","",
"Africa Western and Central","AFW","Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CH4.FE.MT.CE.AR5","","","","","","","","","","","124.1328","124.0946","146.4669","166.5177","184.3663","150.2206","172.1072","173.4944","159.0844","190.7665","174.5931","130.9242","123.0668","120.1055","134.5713","147.136","143.8172","133.9837","142.3066","165.5276","177.0582","183.5206","198.6034","202.738","231.6752","258.4324","309.2637","284.5395","267.3898","254.392","282.0894","280.8619","227.33","254.675","248.926","240.0061","220.8074","201.212","197.3877","190.1327","196.1223","202.9774","203.737","189.5679","192.0738","191.9919","175.9993","177.0866","179.0929","187.9784","163.7996","150.4759","141.2985","146.9608","",
"Angola","AGO","Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CH4.FE.MT.CE.AR5","","","","","","","","","","","4.2688","4.2555","4.8625","5.3572","5.5382","5.2042","5.1103","4.8944","4.6427","4.9925","5.1138","4.6755","4.5113","5.7632","6.4756","7.0089","8.1722","9.9447","12.0386","12.1312","12.6137","11.6905","9.8706","13.8113","25.3612","30.936","38.3107","40.0132","43.628","43.4496","39.8149","37.5965","36.3088","34.96","35.9136","35.4561","30.8912","28.1397","29.1068","28.1093","33.0677","30.7014","31.2786","31.4903","30.762","32.57","31.2497","29.2191","26.9096","25.3676","23.8668","21.6404","21.956","21.3192","",
"Albania","ALB","Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CH4.FE.MT.CE.AR5","","","","","","","","","","","0.9792","0.9795","1.2467","1.2351","1.0658","1.1194","1.1768","1.21","1.3452","1.2706","1.2696","1.2223","1.6408","1.8909","1.5187","1.5205","1.5255","1.501","1.3058","1.3684","0.9213","1.1222","0.4285","0.4319","0.3149","0.1975","0.1965","0.1804","0.1813","0.1782","0.1755","0.1771","0.1809","0.1843","0.1921","0.1891","0.1952","0.2005","0.2014","0.1979","0.2089","0.1669","0.1806","0.203","0.2262","0.2412","0.2065","0.2428","0.2989","0.2277","0.2116","0.2485","0.2353","0.2337","",
"Andorra","AND","Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CH4.FE.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CH4.FE.MT.CE.AR5","","","","","","","","","","","326.3003","326.2686","320.5329","352.7672","325.9715","324.0675","367.4","374.8393","383.9053","438.2349","384.2793","281.238","253.7758","246.5967","261.0381","264.0374","292.9807","311.3197","357.0087","380.3938","361.2934","300.0621","310.1184","328.8198","342.7315","352.176","365.0658","376.6402","362.8285","369.3546","399.3593","372.601","348.7253","382.5633","381.4591","383.0988","389.7017","373.8743","382.259","371.5467","380.6658","374.5335","404.2561","396.1458","392.8301","402.3579","438.1416","441.3229","452.2999","456.2597","406.2182","421.7972","450.9242","437.8719","",
"United Arab Emirates","ARE","Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CH4.FE.MT.CE.AR5","","","","","","","","","","","9.6429","9.6431","10.9373","13.9326","15.2503","15.4265","17.7265","18.3238","16.9214","17.0245","15.9394","14.0997","12.0266","11.1393","10.9604","11.1306","12.598","14.2267","14.6429","17.5189","19.5677","19.8305","21.4341","24.54","22.5534","22.7212","23.9263","21.8558","20.3314","19.7797","21.8004","20.4732","18.7537","20.3709","19.6016","20.1604","21.2616","20.8407","20.4599","19.4775","20.6222","22.4357","23.6101","24.6711","24.0477","26.2868","27.1589","25.7454","25.7393","26.538","24.9076","24.9668","28.1742","27.6104","",
"Argentina","ARG","Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CH4.FE.MT.CE.AR5","","","","","","","","","","","8.4245","8.4084","8.4602","8.0573","8.011","7.8743","7.7212","8.5261","8.5621","9.1592","9.2882","9.1638","9.1049","9.356","9.3047","9.035","8.6977","8.6825","9.5611","9.777","9.8852","9.9715","10.614","10.8863","11.6499","14.2701","13.1208","13.4346","12.8068","13.7114","13.2126","13.1504","13.0939","12.9958","12.6002","11.9627","11.8187","11.3995","11.3933","11.3121","11.103","10.8475","10.9285","10.7787","10.8509","10.9904","10.8606","10.6644","10.8476","11.1629","10.5115","10.863","11.4997","12.0358","",
