"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.0173","0.0199","0.0293","0.0312","0.0301","0.043","0.0399","0.0479","0.0498","0.0509","0.0541","0.0546","0.0536","0.0526","0.0625","0.0656","0.071","0.0809","0.0889","0.1199","0.1091","0.1183","0.1358","0.1361","0.1554","0.1706","0.1125","0.1838","0.1862","0.1862","0.1436","0.1466","0.1563","0.186","0.1924","0.2128","0.2359","0.2589","0.2563","0.2725","0.2541","0.1563","0.1976","0.2139","0.2222","0.2301","0.2408","0.2234","0.2263","0.268","0.2329","0.253","0.2513","0.2635","",
"Africa Eastern and Southern","AFE","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","68.5819","68.5819","72.3871","80.4373","89.7871","99.6468","108.9094","109.0106","86.2694","93.9355","101.7292","110.1537","116.3567","118.1186","127.3275","130.5713","132.0183","147.076","141.9224","148.0419","155.0579","156.1553","158.7619","168.9089","173.1982","180.1173","187.1306","196.3224","204.4998","195.4014","204.4627","191.9207","195.6616","214.549","230.6287","228.4329","230.4366","237.4648","265.2957","247.3898","261.5219","255.8127","258.279","265.5143","280.6893","263.5503","268.0692","259.957","268.5143","287.8487","244.6292","245.8303","237.1519","226.8788","",
"Afghanistan","AFG","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.0572","0.0572","0.1174","0.1757","0.2077","0.2116","0.242","0.3773","0.275","0.303","0.3123","0.3648","0.3629","0.509","0.4613","0.6449","0.6772","0.7424","0.6867","0.6121","0.605","0.6053","0.3416","0.362","0.3151","0.4158","0.4321","0.4325","0.5148","0.4831","0.3575","0.3145","0.2922","0.3346","0.297","0.4274","0.4743","0.6399","1.1567","1.6768","2.0359","2.5546","2.1868","1.9911","2.0505","2.2781","2.2592","2.3893","2.2101","2.0179","1.8426","1.9519","2.0253","2.132","",
"Africa Western and Central","AFW","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","1.7308","1.7308","2.0296","2.3642","2.4698","2.9194","3.7293","4.0386","4.6947","4.5498","5.2992","6.6254","7.7672","9.0993","8.973","8.5717","9.006","9.0273","9.3173","8.5521","8.5949","8.1839","8.7501","9.3051","8.6647","9.1811","9.9833","11.0847","13.0586","13.1375","12.9524","13.4032","15.4968","14.3817","15.2363","16.8202","18.6199","19.3954","18.3533","18.6593","23.2182","23.4648","26.3586","27.8358","30.8577","32.8069","35.1674","35.6703","37.5152","37.783","40.0125","41.9681","42.2176","40.5788","",
"Angola","AGO","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.1376","0.1376","0.1593","0.1688","0.3718","0.353","0.3465","0.3465","0.3465","0.387","0.3998","0.3998","0.422","0.4595","0.1174","0.1609","0.2045","0.1734","0.2605","0.2449","0.2916","0.2449","0.1726","0.1252","0.175","0.1719","0.1971","0.4166","0.3851","0.6211","0.7285","0.8206","0.8206","1.0275","0.6627","0.5972","0.6419","1.0082","1.2534","2.2293","2.3657","2.2262","2.4766","3.8599","5.5141","5.9132","4.0054","3.879","3.4528","4.4683","3.5613","4.0379","4.4702","4.5446","",
"Albania","ALB","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.6983","0.6983","0.7434","0.7566","0.7637","0.7101","0.7221","0.718","0.7985","0.84","0.8196","0.7904","0.9001","0.9301","0.9756","0.9973","1.0098","1.0098","1.0113","1.0009","0.5257","0.3329","0.1867","0.3204","0.392","0.2644","0.2178","0.2022","0.2147","0.2107","0.2845","0.2736","0.2849","0.1734","0.168","0.1431","0.1431","0.0902","0","0.0062","0.0156","0.0311","0","0","0","0","0","0","0","0","0","0","0","0","",
"Andorra","AND","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","18.7844","18.7844","22.0651","24.3755","25.8584","31.0634","36.2388","43.5531","52.4071","65.0174","82.2931","90.8003","103.8062","118.4772","132.1534","141.0166","156.2653","163.9369","175.4531","180.9699","182.892","176.2489","209.2814","242.0172","261.8026","271.3189","276.7913","309.2798","304.9807","297.9824","316.2795","344.2601","360.2756","379.4813","410.4512","434.1143","456.9826","456.2705","506.9376","527.6047","554.2104","567.5843","613.5344","629.1784","652.1295","682.1856","686.1509","712.7888","690.3655","703.67","676.5743","710.405","722.9327","735.6606","",
"United Arab Emirates","ARE","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.1499","0.1499","0.3447","0.5316","0.6954","1.01","1.433","2.2096","2.8142","3.7315","4.7147","5.3965","6.6657","7.5823","8.2247","8.9715","9.5814","10.2097","11.0959","11.6708","12.7689","12.9719","13.9707","16.2448","17.7452","18.5249","19.7743","21.4033","23.8486","26.4205","29.2573","32.4004","36.0072","40.0233","48.1302","51.4817","55.0481","55.1218","66.3521","57.4897","58.7463","60.0344","62.2889","62.5946","65.6231","69.8976","70.0844","71.7056","70.6733","69.8611","68.4696","70.6679","68.6959","65.2787","",
"Argentina","ARG","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","19.2906","19.2906","21.1291","19.7767","18.8179","18.4253","19.0287","21.5575","18.6325","20.829","18.6995","17.2338","15.7056","17.1969","15.7688","14.2161","17.7215","18.8551","25.2031","24.851","18.8081","20.8844","19.5974","20.143","20.6108","21.1608","24.4854","22.7439","25.3762","30.0685","28.9566","26.2991","23.7645","27.6465","34.3658","36.7121","39.6532","39.048","43.0335","40.2007","42.8411","48.2083","50.6894","48.3255","50.032","52.2095","53.518","50.7712","47.0731","39.9896","39.0083","47.0443","45.2058","39.3521","",
"Armenia","ARM","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","2.4223","2.4223","2.6664","3.1369","3.5894","3.9618","4.2173","4.4321","4.66","4.904","5.1149","5.3743","5.4753","5.545","5.4805","5.4837","5.3934","5.3696","5.1279","4.7268","6.1004","7.7996","4.8664","0.8131","0.8211","1.3923","1.5365","1.8013","1.7864","1.4558","1.601","1.5394","0.9174","0.8782","0.7667","0.9495","0.9034","1.0815","1.0404","0.6453","0.6327","0.9454","1.4316","1.3213","1.1309","1.2719","1.1729","1.2389","1.4839","1.3534","1.4239","1.6261","1.5392","1.6737","",
"American Samoa","ASM","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.0714","0.0714","0.0933","0.0892","0.0781","0.1021","0.0873","0.0972","0.0943","0.0902","0.0901","0.0767","0.097","0.0531","0.0661","0.0659","0.0691","0.092","0.0982","0.0982","0.0888","0.0859","0.0896","0.0872","0.0955","0.0997","0.0993","0.1034","0.1047","0.1047","0.0722","0.0713","0.0788","0.0887","0.0913","0.0949","0.1089","0.1211","0.1301","0.1471","0.1469","0.1141","0.1191","0.1342","0.1409","0.1447","0.1562","0.1325","0.1432","0.1634","0.142","0.1542","0.1532","0.1606","",
"Australia","AUS","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","53.3188","52.5407","58.0605","59.2602","65.3348","69.5659","71.9365","80.9324","75.5389","78.7866","89.1334","92.9316","98.7124","93.8849","96.5508","104.3199","104.233","111.238","116.5886","125.9215","128.6412","131.1197","133.855","134.752","136.9625","142.5873","148.7442","153.6778","171.6132","176.1201","178.8662","186.6174","203.1236","187.6017","196.8311","200.3535","203.8699","210.2452","210.2514","220.7191","219.1245","210.7873","210.4309","199.5548","189.9931","198.3553","202.719","199.4837","192.0352","188.0696","179.6183","171.9527","161.1225","155.3988","",
"Austria","AUT","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","7.9167","10.3671","10.5856","10.824","9.3809","9.2014","11.8771","9.6018","10.0542","10.4226","9.3585","10.4548","9.3633","9.3511","10.31","10.5174","10.1368","10.6171","9.8055","10.8276","14.3513","15.3536","12.385","12.1871","13.1251","14.4822","15.9116","16.0085","14.7375","14.4734","13.4756","15.1948","14.9862","17.4083","17.9691","18.3804","17.3923","16.345","15.7199","14.3366","16.9272","16.6479","14.8028","14.1258","12.2119","13.2466","12.796","14.2256","12.9081","13.0349","11.4109","12.2069","11.057","10.185","",
"Azerbaijan","AZE","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","7.4256","7.4256","8.028","9.0988","10.2217","11.0984","11.8911","12.5069","13.172","13.8819","14.4551","15.2476","15.7718","16.2435","16.4498","16.8403","17.0456","17.3437","17.0834","16.5705","19.827","20.6147","21.894","21.4921","16.0864","15.1504","14.1343","13.6492","14.745","14.7028","15.3256","13.8183","12.6471","14.2552","13.3066","13.9469","14.3623","12.4788","11.6898","9.4577","8.3588","9.6247","11.7571","11.6595","12.2521","12.4656","12.4291","12.2937","12.3285","12.3554","12.2388","13.0646","13.8711","15.3516","",
"Burundi","BDI","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.0002","0.0002","0.0003","0.0003","0.0003","0.0004","0.0059","0.0057","0.0059","0.0062","0.0096","0.0132","0.0121","0.0161","0.0221","0.0217","0.0245","0.027","0.0402","0.0326","0.0506","0.0743","0.0544","0.0608","0.0608","0.0586","0.0649","0.0632","0.0742","0.0728","0.0745","0.0604","0.0563","0.0444","0.0518","0.0427","0.0533","0.0812","0.0448","0.0462","0.0667","0.0847","0.0765","0.091","0.0838","0.0878","0.0972","0.1079","0.1467","0.1452","0.1492","0.1516","0.1405","0.1406","",
"Belgium","BEL","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","27.0656","29.3009","32.5807","35.6214","39.0674","28.9095","31.8591","30.5698","32.5588","34.6511","34.8316","33.119","30.998","26.748","25.6328","21.9449","19.5594","20.6289","22.3708","23.8647","25.8964","26.0202","25.288","25.7947","27.8056","28.1033","27.3023","25.9371","27.8892","25.2269","26.074","24.0352","24.1179","25.1601","25.2269","25.813","25.3637","25.0972","23.6607","22.1135","23.1306","20.3017","19.4061","17.6346","16.4257","17.2791","16.023","15.8883","16.1207","16.6046","15.68","14.6891","14.8382","13.5641","",
"Benin","BEN","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0","0","0","0.0224","0.0064","0.0064","0.0064","0.0127","0.0127","0.0127","0.0159","0.0126","0.0224","0.0576","0.0378","0.0286","0.0286","0.0254","0.0223","0.0223","0.0255","0.0255","0.0286","0.0318","0.0347","0.0317","0.0348","0.0474","0.0542","0.0479","0.051","0.0637","0.0701","0.0608","0.0606","0.0767","0.1086","0.1472","0.1571","0.093","0.0866","0.0866","0.0416","0.0915","0.237","0.2201","0.1884","0.2033","0.167","0.2727","0.5053","0.5229","0.5143","0.4984","",
"Burkina Faso","BFA","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.001","0.001","0.0012","0.0012","0.0011","0.0016","0.0251","0.0243","0.0251","0.0267","0.0411","0.0495","0.052","0.0604","0.0662","0.063","0.083","0.0877","0.0886","0.0554","0.0824","0.1205","0.0964","0.102","0.1076","0.1078","0.1197","0.1906","0.1986","0.195","0.2216","0.2664","0.2833","0.3068","0.2629","0.2802","0.2771","0.3645","0.3771","0.3686","0.382","0.4434","0.5135","0.6697","0.6241","0.8279","0.7742","0.8427","0.9463","0.8971","0.9218","0.9367","0.9754","0.9451","",
"Bangladesh","BGD","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.6739","0.6739","0.6739","1.0393","1.0262","0.8896","0.9346","1.0263","1.2507","1.3893","1.549","1.4639","1.7885","1.804","1.9452","2.8424","3.2949","3.5436","4.0619","4.0567","4.3139","4.4705","5.0632","5.6258","5.928","6.5379","6.5479","6.9691","7.6283","8.6165","8.8103","10.5264","11.3188","11.3698","13.3331","14.5443","16.7842","18.1001","19.5051","21.6905","24.1692","26.2873","29.7691","33.1667","35.4259","37.9502","42.4055","44.1977","46.4937","47.6616","46.1551","55.32","58.345","57.026","",
"Bulgaria","BGR","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","21.2098","21.2098","22.6569","22.5297","24.0743","26.2074","26.3792","30.3746","35.6352","36.6959","36.7698","35.4266","37.0493","35.6546","34.6132","37.27","40.3705","41.4814","41.1629","40.7423","44.0897","38.7482","36.8782","37.0832","33.9729","34.3299","34.6908","28.6067","28.2591","24.2568","24.0817","27.3766","24.7063","27.4706","26.7988","26.7901","26.9659","30.3836","30.6106","27.8329","29.7607","34.3845","29.6791","25.6317","27.398","28.2079","24.9005","26.27","22.8983","21.2475","17.2836","21.4772","26.3193","16.9657","",
"Bahrain","BHR","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.3043","0.3043","0.3145","0.354","0.4068","0.712","0.9621","1.2054","1.3257","1.7638","2.0125","2.1756","2.3206","2.7813","5.2932","5.8046","6.1104","5.8898","6.2725","6.3992","6.7491","6.3407","8.163","8.9216","9.1715","9.2676","9.7352","9.9127","10.8263","11.037","11.3643","11.8241","12.3788","13.0118","12.6748","14.974","16.6966","16.4366","17.5692","17.7949","17.979","18.362","18.8049","19.6953","20.5556","20.4445","20.0887","20.3922","20.3805","23.0128","23.3118","23.6747","22.8554","23.7864","",
"Bahamas, The","BHS","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.7142","0.7136","0.9332","0.8918","0.7808","1.0209","0.8734","0.9719","0.9431","0.9021","0.9008","0.8895","0.7134","0.5047","0.5105","0.4495","0.4663","0.5549","0.5607","0.6409","0.589","0.5121","0.4572","0.4695","0.5233","0.6043","0.6773","0.6718","0.7641","0.6775","0.5318","0.5346","0.5716","0.4384","0.48","0.4736","0.6079","0.7415","0.7669","0.6243","0.6756","0.4595","0.5355","0.565","0.5721","0.557","0.6176","0.6571","0.7489","0.8507","0.7392","0.803","0.7975","0.8363","",
"Bosnia and Herzegovina","BIH","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","2.7627","2.7627","2.9721","3.2382","3.2022","3.5726","4.2568","4.376","4.8485","5.2734","5.4619","7.0801","7.243","8.2028","9.221","9.8978","10.1724","9.7679","10.5497","10.7854","10.7235","8.6996","6.8817","5.9756","0.6854","0.7905","2.0972","5.8343","7.9307","7.8109","8.8604","8.7059","9.5077","10.2773","10.1432","10.3698","11.6922","12.242","13.2787","13.6213","13.3931","15.977","14.765","14.5479","12.2623","12.1205","14.2969","14.6522","14.5016","13.2511","13.823","13.1144","12.7952","12.0904","",
"Belarus","BLR","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","23.3679","23.3679","25.6038","29.8203","33.8541","37.2091","39.5313","41.3943","43.5531","45.7111","47.6197","49.7358","50.7568","51.4956","51.0465","51.1868","50.6799","50.7059","48.7165","45.362","57.4502","54.1523","51.3569","44.0322","40.2523","34.5686","34.62","35.6228","33.8834","33.3592","31.9839","32.1201","31.6947","31.605","33.7034","33.1033","33.5878","31.5889","32.6948","31.3117","33.0565","30.2671","29.746","29.2357","29.3263","27.5886","27.5221","27.9906","30.1522","28.9486","27.7867","27.958","27.4451","25.1827","",
"Belize","BLZ","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.0408","0.0408","0.0533","0.051","0.0446","0.0583","0.0499","0.0555","0.0539","0.0515","0.0515","0.046","0.04","0.0372","0.045","0.045","0.0578","0.0505","0.0391","0.0577","0.0677","0.0748","0.0645","0.0628","0.0612","0.0691","0.0574","0.0983","0.0988","0.1019","0.0732","0.0752","0.0733","0.0799","0.0742","0.082","0.0956","0.0937","0.0901","0.1072","0.1207","0.0792","0.0843","0.1049","0.1014","0.1221","0.1284","0.1351","0.1193","0.1284","0.1116","0.1212","0.128","0.136","",
"Bermuda","BMU","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.0969","0.0968","0.1267","0.121","0.106","0.1386","0.1185","0.1319","0.128","0.1224","0.1223","0.1012","0.0999","0.0983","0.1081","0.1049","0.1018","0.1563","0.1816","0.2204","0.1371","0.1191","0.0974","0.1087","0.1082","0.1085","0.1111","0.1122","0.1137","0.1137","0.0802","0.0801","0.0871","0.0928","0.0951","0.1026","0.1288","0.1566","0.1573","0.1351","0.163","0.0824","0.0934","0.1024","0.1369","0.1146","0.1545","0.1364","0.1515","0.172","0.1624","0.1673","0.1662","0.1743","",
"Bolivia","BOL","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.218","0.218","0.237","0.2477","0.2692","0.2896","0.2983","0.3461","0.3934","0.4201","0.4029","0.4746","0.3932","0.4417","0.4701","0.4569","0.5172","0.5327","0.5214","0.6194","0.7738","0.6954","0.9161","0.8462","1.1397","1.3422","1.167","1.4056","1.6249","1.1404","1.1575","0.9287","1.09","1.3872","1.3424","1.6214","1.7419","1.9335","2.1965","2.4231","2.9279","3.1811","3.2902","3.1818","3.6282","3.8039","4.5112","4.316","3.9953","3.6154","3.1749","3.2358","3.4608","3.8235","",
"Brazil","BRA","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","7.4617","7.4617","6.0492","6.5714","5.7938","5.8162","5.741","6.3694","9.0493","8.6443","8.9314","10.5741","9.7368","8.6825","10.0131","10.078","16.8927","15.0568","14.0722","12.6015","12.7662","14.0395","15.2377","14.4494","13.7071","15.6784","17.0793","19.721","20.59","28.2668","31.4951","35.479","30.4621","29.4625","33.9735","34.7221","34.7706","32.9481","42.6488","30.5434","45.8373","37.0345","55.7887","78.9137","99.9898","95.994","73.9888","74.5212","65.92","67.7714","62.4576","87.8688","50.4856","47.7819","",
"Barbados","BRB","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.1709","0.1707","0.2233","0.2134","0.1868","0.2443","0.209","0.2326","0.2257","0.2159","0.2156","0.2147","0.2026","0.1992","0.2162","0.2398","0.2594","0.2635","0.2533","0.2776","0.2686","0.2637","0.2807","0.2669","0.2595","0.2663","0.254","0.288","0.2991","0.3193","0.2875","0.2785","0.2829","0.3023","0.3039","0.3067","0.3367","0.3289","0.3955","0.3997","0.3991","0.3311","0.3206","0.3664","0.318","0.3439","0.3721","0.2814","0.314","0.3565","0.3099","0.3366","0.3343","0.3505","",
"Brunei Darussalam","BRN","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.2319","0.2319","0.2319","0.2287","0.2319","0.2319","0.2319","0.2319","0.2319","0.2319","0.3183","0.4386","0.5259","0.6329","0.6956","0.7104","0.7213","0.9678","1.0182","1.0509","1.0882","1.1674","1.2937","1.4513","1.6418","1.7398","1.8236","2.0701","2.1782","2.0338","2.0325","2.0715","2.2216","2.6344","2.6921","2.6261","2.7827","2.5228","2.7212","2.864","2.7833","2.6842","2.8553","2.73","2.8196","2.3797","2.5851","2.6448","3.0845","3.3807","4.4718","4.5318","4.43","4.6077","",
"Bhutan","BTN","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.0002","0.0002","0.0003","0.0005","0.0006","0.0006","0.0007","0.0011","0.0008","0.0009","0.0009","0.0091","0.0093","0.0093","0.0084","0.0099","0.0104","0.0131","0.0127","0.0112","0.0317","0.035","0.0328","0.0388","0.0439","0.0542","0.0516","0.0561","0.0666","0.0761","0.0774","0.1009","0.1094","0.117","0.1218","0.1331","0.1427","0.1269","0.1001","0.0946","0.1175","0.1134","0.1221","0.1451","0.1581","0.1805","0.2074","0.2365","0.2965","0.2985","0.2853","0.2696","0.2819","0.2954","",
"Botswana","BWA","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.0444","0.0444","0.0674","0.1033","0.2662","0.3382","0.4813","0.4389","0.5481","0.6426","0.6289","0.6333","0.6887","0.6326","0.5663","0.6058","0.7596","0.7818","1.0609","1.1714","1.5232","1.4035","1.6483","1.6401","1.6582","1.7501","1.3149","1.4028","1.3158","1.6605","1.6605","1.2443","1.3109","1.3734","1.6125","1.6782","1.2764","1.0755","1.0536","0.9398","0.567","1.0718","0.4831","2.3162","3.7512","3.8144","3.6227","4.2847","4.7878","4.0669","2.9483","3.3506","3.8005","3.8486","",
"Central African Republic","CAF","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.0003","0.0003","0.0004","0.0004","0.0004","0.0005","0.0084","0.0081","0.0084","0.0089","0.0137","0.0215","0.0243","0.0302","0.0309","0.0304","0.0411","0.039","0.0368","0.0259","0.041","0.0557","0.0421","0.0462","0.0468","0.0469","0.0524","0.0511","0.0577","0.0567","0.0666","0.0726","0.0736","0.0674","0.0634","0.0625","0.065","0.0593","0.0426","0.0426","0.0423","0.0465","0.0467","0.033","0.0365","0.0539","0.0577","0.0565","0.0598","0.057","0.0585","0.0595","0.0682","0.0712","",
"Canada","CAN","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","45.1198","49.4616","50.2556","51.9894","50.6417","54.088","58.7936","65.6814","64.4378","68.9091","74.7516","72.9106","79.286","85.3212","91.9213","87.8075","80.3075","90.0185","99.2278","108.6024","97.2329","98.6968","105.3079","95.8221","98.377","102.1594","100.907","112.1154","125.2419","123.9451","135.6159","137.912","131.9996","137.7949","129.9664","125.5881","123.759","133.4417","122.3375","108.7537","111.4043","107.793","102.8249","101.6694","101.3272","98.7643","97.3096","94.4912","87.3442","85.2704","77.4698","76.9805","74.1806","73.851","",
"Central Europe and the Baltics","CEB","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","279.4019","287.5933","308.9597","329.8194","348.1092","360","388.3385","408.9305","450.4759","453.4212","457.0083","457.9205","466.7602","481.3659","491.5016","502.3414","506.401","509.5404","505.2096","505.4169","502.5499","477.4368","469.9661","444.6874","418.0136","405.946","419.7097","396.1567","379.6812","358.9591","358.752","370.1835","354.1149","372.5916","361.0408","357.2107","365.5803","371.5124","356.8332","331.8481","344.8043","351.9139","332.1049","316.2405","300.298","301.9086","299.1945","301.3086","292.4428","265.342","236.1038","264.3507","264.0511","215.0937","",
"Switzerland","CHE","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","0.9586","1.2712","1.6195","1.3928","1.1411","1.3212","1.409","1.2965","1.3127","1.3117","0.6808","0.6036","0.637","0.6394","0.6282","0.6912","0.7429","0.7148","0.6242","0.6529","2.1005","2.4946","2.6206","2.2121","2.3028","2.1902","2.2323","2.4539","2.9479","2.7032","2.6262","2.7252","2.7809","2.854","2.9865","3.048","3.0298","2.8632","2.8613","2.6412","2.8192","2.7055","2.773","2.7335","2.5705","2.5904","2.7213","2.7218","2.6888","2.782","2.7365","2.6833","2.551","2.5197","",
"Channel Islands","CHI","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CO2.PI.MT.CE.AR5","","","","","","","","","","","3.8113","3.8113","3.3242","3.2512","3.0128","2.393","2.7149","2.8359","3.1291","3.7007","3.8504","3.7709","2.8907","2.9081","3.483","3.0209","2.9198","2.8255","4.5462","7.3126","8.3071","5.8037","4.2368","4.5483","6.5074","7.3207","10.5815","12.8291","14.8571","17.6645","13.7202","11.4895","11.9842","13.6349","16.5931","16.7821","16.9852","22.4142","24.1962","22.8651","25.0959","29.4148","34.1732","35.205","29.5418","33.077","35.1313","34.5685","32.9533","37.854","35.1201","32.8075","29.0231","23.6466","",
