"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.N2O.MT.CE.AR5","","","","","","","","","","","0.0008","0.0008","0.0009","0.0009","0.0009","0.001","0.001","0.0011","0.0012","0.0012","0.0013","0.0013","0.0014","0.0014","0.0017","0.0017","0.0019","0.002","0.0022","0.0028","0.0044","0.0049","0.0053","0.0053","0.0058","0.0064","0.0049","0.0072","0.0079","0.0083","0.0055","0.0056","0.0058","0.0064","0.0066","0.0071","0.0077","0.0081","0.0081","0.0087","0.0085","0.0059","0.007","0.0075","0.0079","0.0082","0.0086","0.0084","0.0083","0.0095","0.0081","0.0087","0.009","0.0094","",
"Africa Eastern and Southern","AFE","Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.N2O.MT.CE.AR5","","","","","","","","","","","70.7954","71.3975","72.5379","73.8504","75.1619","76.6256","77.1213","78.5402","80.3137","82.3487","82.9928","84.3325","94.3581","95.0468","95.4131","95.7424","97.1342","96.311","98.6645","99.1696","101.7215","100.0299","104.292","105.1526","106.0047","107.8533","112.0948","109.8911","116.6706","118.2884","119.1898","120.6864","121.5833","123.3679","126.1431","130.2259","129.8541","137.3276","141.2949","143.8978","148.0596","149.1124","154.0104","157.5006","160.152","161.5186","165.9689","166.5842","168.9548","173.2948","178.2979","177.8286","180.8238","182.8626","",
"Afghanistan","AFG","Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.N2O.MT.CE.AR5","","","","","","","","","","","2.5125","2.4789","1.957","2.1419","2.3405","2.5378","2.6137","2.583","2.5516","2.4857","2.525","2.4981","2.5542","2.4184","2.3029","2.138","1.8256","1.9702","2.0455","2.0359","2.0316","2.0842","2.0404","2.0696","1.9056","1.9987","2.2026","2.4141","2.5884","2.8106","2.4473","2.2111","2.5722","2.6816","2.6717","2.7882","2.7579","2.7829","3.0645","3.2735","3.6495","3.7401","3.743","3.6533","3.8005","3.8415","3.9607","4.4631","3.9337","3.9491","3.6824","3.5777","3.5457","3.557","",
"Africa Western and Central","AFW","Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.N2O.MT.CE.AR5","","","","","","","","","","","24.9975","25.5313","25.4637","24.6841","24.6022","25.6467","26.8099","27.7862","28.8661","30.1047","31.5959","32.62","38.9657","38.8827","37.4402","37.7498","39.2992","40.6672","41.7216","43.4689","44.5889","45.8854","46.6962","47.6205","49.0834","49.9548","52.415","50.7134","54.8791","56.4056","58.2569","59.8527","59.4606","63.2825","64.0203","67.3061","68.6203","70.4927","73.367","73.9766","77.8622","81.0255","82.9607","86.8155","87.9434","90.4664","95.1616","98.2161","100.5023","103.3061","105.5085","110.1413","113.583","115.5996","",
"Angola","AGO","Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.N2O.MT.CE.AR5","","","","","","","","","","","1.5296","1.6197","1.6764","1.7038","1.7334","1.7536","1.6623","1.7038","1.7807","1.8296","1.8793","1.9025","2.6789","2.6511","2.5415","2.8294","2.8256","2.7412","2.5168","2.6844","2.7036","2.6202","2.8113","2.7845","2.757","2.7926","3.0409","2.9601","3.3659","3.1697","3.2265","3.4834","3.174","3.2466","3.2766","3.4282","3.5323","3.6005","3.716","3.9002","4.0351","4.1083","4.2995","4.4581","4.6088","4.7631","4.7867","4.7027","4.6721","4.8626","4.8215","4.9626","5.0845","5.1077","",
"Albania","ALB","Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.N2O.MT.CE.AR5","","","","","","","","","","","0.7001","0.6878","0.6864","0.6926","0.7097","0.712","0.8008","0.8568","1.0052","1.0352","1.0387","1.0681","1.0654","1.1","1.1292","1.1039","1.1331","1.1285","1.1795","1.2575","1.1678","0.8789","0.8101","0.8605","1.0199","0.9786","0.9152","0.8596","0.9104","0.9201","0.9349","0.9345","0.9947","0.9531","1.0077","0.8936","0.9588","0.9105","0.8569","0.8419","0.8349","0.8614","0.9242","0.8764","0.9471","0.9687","0.955","0.9428","0.9263","0.946","0.8631","0.847","0.8131","0.7891","",
"Andorra","AND","Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.N2O.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.N2O.MT.CE.AR5","","","","","","","","","","","34.0626","34.5403","35.2682","35.8356","36.17","38.1563","39.1639","40.0679","41.5076","43.2892","45.7098","46.5297","50.099","50.4584","51.4013","53.3608","53.8628","55.1299","56.4656","56.8282","57.6745","57.0017","59.946","63.533","65.0581","67.006","69.7383","70.5025","74.3211","75.8545","77.1242","80.394","82.6253","82.1218","85.336","87.7389","87.3036","89.5148","90.1781","92.6301","94.4754","96.2005","98.1821","98.5879","100.0437","99.8901","101.8631","100.7609","103.0959","100.7723","100.4328","101.0565","101.8599","102.9922","",
"United Arab Emirates","ARE","Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.N2O.MT.CE.AR5","","","","","","","","","","","0.1534","0.1862","0.2044","0.2554","0.2665","0.2717","0.3092","0.3277","0.374","0.3301","0.416","0.4321","0.4511","0.4563","0.5152","0.5315","0.5368","0.5659","0.5713","0.6132","0.6341","0.6818","0.6776","0.7241","0.7759","0.834","0.8919","0.9397","0.9721","1.0122","0.9668","1.0695","1.1384","1.1921","1.2098","1.2864","1.3457","1.4535","1.6008","1.7503","1.8463","1.8438","1.8965","2.0599","2.0643","1.995","2.0896","2.0915","1.9784","2.0179","2.0157","2.1134","2.2338","2.2683","",
"Argentina","ARG","Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.N2O.MT.CE.AR5","","","","","","","","","","","23.6673","24.0961","24.8705","25.8687","25.6318","26.1175","26.7416","27.6484","26.6536","26.5296","26.023","25.7383","25.4532","25.8412","26.4164","25.8766","25.6584","25.3551","26.0548","26.048","26.3613","26.2201","26.7557","26.3696","27.2604","27.2662","27.7124","27.8137","27.5896","27.9573","27.8471","28.3878","29.1628","31.2619","32.584","32.2851","33.599","35.0516","33.2142","30.6221","30.9584","31.601","31.2978","32.5552","32.8633","32.1876","34.6376","35.7841","35.8449","37.3341","37.7775","38.1325","39.2676","39.9936","",
