"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","EN.GHG.N2O.IP.MT.CE.AR5","","","","","","","","","","","0.0002","0.0002","0.0003","0.0003","0.0003","0.0004","0.0004","0.0004","0.0004","0.0004","0.0005","0.0005","0.0005","0.0005","0.0006","0.0006","0.0007","0.0008","0.0009","0.0012","0.0016","0.0019","0.0021","0.0022","0.0024","0.0026","0.0017","0.0028","0.0029","0.0029","0.0022","0.0022","0.0023","0.0026","0.0027","0.0029","0.0032","0.0034","0.0035","0.0039","0.0038","0.0024","0.0032","0.0034","0.0036","0.0038","0.0039","0.0037","0.0038","0.0045","0.0037","0.0041","0.0043","0.0045","",
"Africa Eastern and Southern","AFE","Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","EN.GHG.N2O.IP.MT.CE.AR5","","","","","","","","","","","5.2924","5.3892","5.5552","5.8815","6.059","6.1209","6.1757","6.241","6.1917","6.2491","6.3003","6.3517","15.0423","15.4963","15.7092","14.9371","15.6818","15.8162","16.0218","14.6431","15.5631","14.6646","17.1296","18.1927","16.8477","17.1735","19.1145","14.5819","18.7688","17.3716","18.5959","17.6134","16.2727","16.963","17.2813","18.2037","16.2131","16.7776","16.352","16.5682","16.9009","16.9297","17.3543","17.4164","16.9685","17.5536","17.8786","17.3843","18.0425","17.4132","17.375","17.5828","17.6572","16.8088","",
"Afghanistan","AFG","Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","EN.GHG.N2O.IP.MT.CE.AR5","","","","","","","","","","","0.009","0.009","0.0098","0.0104","0.0116","0.0123","0.0125","0.0147","0.0142","0.0148","0.0148","0.0167","0.0171","0.0209","0.0199","0.0255","0.0242","0.025","0.024","0.0221","0.0332","0.0337","0.0255","0.0245","0.0249","0.024","0.0238","0.0235","0.025","0.0244","0.0219","0.0232","0.0225","0.0267","0.0238","0.0269","0.0294","0.0326","0.0499","0.0686","0.0818","0.0987","0.0896","0.0744","0.069","0.0721","0.0642","0.0662","0.07","0.0658","0.0647","0.0713","0.0737","0.076","",
"Africa Western and Central","AFW","Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","EN.GHG.N2O.IP.MT.CE.AR5","","","","","","","","","","","1.3346","1.3515","1.407","1.4703","1.522","1.5587","1.6307","1.6955","1.7707","1.8275","1.8963","1.9291","7.7162","7.4814","6.852","6.5002","7.1794","7.776","7.4295","7.9559","8.1022","8.2839","8.2585","7.7204","8.1741","8.2888","9.3639","6.3213","9.0357","8.8702","9.2257","9.0949","7.3416","8.72","7.8625","9.2439","8.7329","8.8103","8.9472","7.8482","8.6769","9.2502","8.881","9.1131","8.7256","8.9758","10.1397","9.2633","9.1948","9.113","9.5236","9.4404","9.9042","8.8126","",
"Angola","AGO","Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","EN.GHG.N2O.IP.MT.CE.AR5","","","","","","","","","","","0.144","0.1463","0.1577","0.1593","0.163","0.161","0.1589","0.1594","0.1724","0.1723","0.1758","0.1766","0.9278","0.8712","0.7288","0.9811","0.9539","0.8984","0.7078","0.9072","0.9561","0.8144","0.9427","0.9244","0.909","0.9096","0.9968","0.7967","1.0377","0.833","0.8042","1.0415","0.7233","0.7882","0.8241","0.8086","0.829","0.7953","0.8169","0.8766","0.9001","0.8538","0.9802","0.951","0.9947","1.026","1.0106","0.9847","0.9547","0.9928","0.9672","0.9886","1.021","0.9753","",
"Albania","ALB","Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","EN.GHG.N2O.IP.MT.CE.AR5","","","","","","","","","","","0.0362","0.0364","0.0404","0.0351","0.0364","0.036","0.0387","0.0402","0.0438","0.0497","0.0534","0.042","0.0445","0.0476","0.0534","0.0511","0.0505","0.0516","0.0524","0.0515","0.0426","0.0335","0.0255","0.0251","0.0267","0.0253","0.025","0.0215","0.0257","0.0379","0.0389","0.0391","0.0416","0.0418","0.0459","0.045","0.0403","0.0427","0.0418","0.0401","0.0391","0.043","0.0395","0.04","0.0425","0.0424","0.0414","0.0453","0.0481","0.0439","0.0382","0.0438","0.0401","0.0394","",
"Andorra","AND","Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","EN.GHG.N2O.IP.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","EN.GHG.N2O.IP.MT.CE.AR5","","","","","","","","","","","5.3625","5.5452","5.8226","6.0436","6.2233","6.5285","6.8207","7.1492","7.0925","7.5681","7.8199","7.8874","10.2166","9.9728","10.1752","10.6105","10.3738","10.5932","10.6609","10.7552","10.9331","11.0231","12.3236","12.7013","13.4943","13.6674","13.8547","12.3572","14.3448","14.3006","14.749","15.3633","15.4336","15.2839","15.9909","16.3529","15.7525","17.8957","18.9103","19.9973","20.7429","21.5368","22.0022","22.1416","22.4379","22.467","22.9154","22.8133","23.6931","22.7912","22.6322","22.8753","22.9728","23.4028","",
"United Arab Emirates","ARE","Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","EN.GHG.N2O.IP.MT.CE.AR5","","","","","","","","","","","0.0348","0.0409","0.046","0.0574","0.0626","0.0754","0.0935","0.112","0.1263","0.1309","0.1756","0.1975","0.2079","0.2058","0.237","0.2515","0.2668","0.2873","0.2928","0.3249","0.3323","0.365","0.3516","0.3713","0.3938","0.416","0.4341","0.4464","0.4547","0.4632","0.4588","0.5182","0.5375","0.5495","0.5588","0.5952","0.6186","0.688","0.7892","0.8576","0.9192","0.9419","0.9876","1.0435","1.0453","1.0247","1.0701","1.0441","0.9636","1.0145","1.0193","1.0545","1.0911","1.1033","",
"Argentina","ARG","Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","EN.GHG.N2O.IP.MT.CE.AR5","","","","","","","","","","","0.85","0.855","0.8785","0.877","0.8772","0.8494","0.8487","0.8964","0.8805","0.9198","0.8922","0.8626","0.976","0.9716","1.0519","0.9403","0.9821","1.0479","1.0286","1.0379","0.9457","0.9057","1.0193","1.0289","1.0771","1.0862","1.0905","1.0024","1.1369","1.1412","1.0337","1.0207","0.9893","1.082","1.1382","1.0582","1.1379","1.0908","1.162","1.1118","1.0969","1.184","1.2009","1.2231","1.106","1.1406","1.1467","1.2209","1.1425","1.0949","1.2073","1.1273","1.3288","1.0388","",
