"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0002","0.0002","0.0003","0.0003","0.0002","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0004","0.0004","0.0005","0.0005","0.0005","0.0005","0.0003","0.0004","0.0004","0.0004","0.0005","0.0005","0.0004","0.0005","0.0005","0.0005","0.0005","0.0005","0.0006","",
"Africa Eastern and Southern","AFE","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.2572","0.2588","0.2735","0.3047","0.3396","0.3779","0.4132","0.415","0.3278","0.3584","0.3886","0.422","0.4468","0.4536","0.4883","0.5018","0.5076","0.5665","0.5465","0.5724","0.6026","0.6097","0.621","0.66","0.675","0.7023","0.732","0.7689","0.8038","0.7662","0.8031","0.7561","0.7704","0.8442","0.9046","0.8944","0.9083","0.9313","1.0631","0.9943","1.052","1.0409","1.1374","1.323","1.6957","1.6399","1.6944","1.92","2.1482","2.0632","1.729","1.7252","1.7831","1.7895","",
"Afghanistan","AFG","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.0001","0.0001","0.0002","0.0004","0.0004","0.0004","0.0005","0.0008","0.0006","0.0006","0.0006","0.0008","0.0008","0.0011","0.001","0.0013","0.0014","0.0015","0.0014","0.0013","0.0014","0.0014","0.0007","0.0008","0.0007","0.0007","0.0007","0.0007","0.0008","0.0008","0.0006","0.0007","0.0006","0.0008","0.0007","0.001","0.0011","0.0016","0.0025","0.0037","0.0046","0.006","0.0052","0.005","0.0052","0.0057","0.006","0.0067","0.0058","0.0057","0.005","0.0055","0.0057","0.0061","",
"Africa Western and Central","AFW","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.0051","0.0054","0.0056","0.006","0.0064","0.0069","0.008","0.0083","0.0086","0.0084","0.0094","0.01","0.0109","0.012","0.0127","0.0129","0.0137","0.0139","0.014","0.0124","0.0135","0.0143","0.017","0.0178","0.0174","0.0185","0.0191","0.0175","0.0212","0.0222","0.0212","0.0225","0.0251","0.0235","0.0244","0.0267","0.0371","0.0316","0.0314","0.0298","0.0349","0.0299","0.0337","0.0352","0.0386","0.0389","0.0822","0.0762","0.0943","0.1012","0.0574","0.0937","0.0904","0.087","",
"Angola","AGO","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.0003","0.0003","0.0003","0.0003","0.0008","0.0007","0.0007","0.0007","0.0007","0.0008","0.0008","0.0008","0.0009","0.0009","0.0002","0.0003","0.0004","0.0004","0.0005","0.0005","0.0006","0.0005","0.0004","0.0003","0.0004","0.0004","0.0004","0.0008","0.0008","0.0013","0.0015","0.0017","0.0017","0.0021","0.0014","0.0012","0.0013","0.0021","0.0026","0.0046","0.0049","0.0046","0.0052","0.0081","0.0116","0.0124","0.0083","0.0081","0.0071","0.0081","0.0062","0.0072","0.0081","0.0084","",
"Albania","ALB","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.0012","0.0012","0.0014","0.0015","0.0016","0.0017","0.0017","0.0018","0.0023","0.0025","0.0025","0.0027","0.0029","0.0031","0.0032","0.0031","0.0031","0.0031","0.003","0.003","0.0005","0.0003","0.0002","0.0003","0.0004","0.0003","0.0002","0.0002","0.0002","0.0014","0.0015","0.0016","0.0014","0.0007","0.0002","0.0001","0.0001","0.0001","0","0","0","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","",
"Andorra","AND","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.0243","0.0244","0.0297","0.0333","0.0373","0.0447","0.0522","0.0624","0.0732","0.0846","0.1052","0.1195","0.1371","0.1525","0.1641","0.1709","0.1918","0.2015","0.2126","0.2106","0.2123","0.2008","0.2523","0.3035","0.3324","0.3507","0.3533","0.4138","0.394","0.3634","0.3923","0.4273","0.4337","0.4558","0.4873","0.5027","0.5264","0.5261","0.5792","0.6274","0.6533","0.6702","0.7323","0.755","0.8009","0.8368","0.7855","0.771","0.7169","0.7482","0.7102","0.7507","0.7641","0.7663","",
"United Arab Emirates","ARE","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.0001","0.0001","0.0002","0.0003","0.0003","0.0005","0.0007","0.0012","0.0016","0.0021","0.0026","0.003","0.0037","0.0042","0.0045","0.0049","0.0053","0.0056","0.0061","0.0064","0.007","0.0071","0.0077","0.0089","0.0097","0.0099","0.0107","0.0119","0.013","0.0143","0.0157","0.0172","0.019","0.0211","0.025","0.0267","0.0285","0.0286","0.034","0.0298","0.0304","0.0309","0.032","0.0321","0.0337","0.0359","0.036","0.0366","0.0345","0.034","0.0352","0.0426","0.0417","0.0401","",
"Argentina","ARG","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.0331","0.0338","0.0356","0.0309","0.0294","0.0283","0.029","0.0336","0.0296","0.0347","0.0302","0.0277","0.024","0.0276","0.0226","0.019","0.0241","0.0274","0.0355","0.0264","0.0217","0.0259","0.0243","0.0225","0.0253","0.0228","0.0256","0.0231","0.0264","0.0293","0.0286","0.0237","0.0253","0.03","0.0416","0.0474","0.0472","0.053","0.0597","0.056","0.0649","0.0723","0.0745","0.0711","0.0684","0.0755","0.0762","0.0697","0.057","0.0563","0.0732","0.0833","0.0946","0.085","",
"Armenia","ARM","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.0023","0.0022","0.0025","0.003","0.0034","0.0037","0.004","0.0042","0.0044","0.0046","0.0048","0.005","0.0051","0.0051","0.005","0.0049","0.0047","0.0047","0.0044","0.0039","0.0053","0.0068","0.0044","0.0005","0.0005","0.0007","0.0008","0.0009","0.0008","0.0007","0.0008","0.0007","0.0004","0.0004","0.0004","0.0004","0.0004","0.0005","0.0005","0.0003","0.0003","0.0004","0.0007","0.0006","0.0005","0.0006","0.0006","0.0006","0.0007","0.0006","0.0007","0.0008","0.0007","0.0008","",
"American Samoa","ASM","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.0001","0.0001","0.0002","0.0002","0.0001","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0002","0.0001","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0002","0.0002","0.0003","0.0003","0.0003","0.0002","0.0002","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","",
"Australia","AUS","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.1931","0.1899","0.21","0.2136","0.2363","0.2542","0.2618","0.2929","0.2705","0.2804","0.3197","0.3307","0.349","0.3332","0.3436","0.3762","0.3982","0.4281","0.4482","0.4817","0.4874","0.5031","0.5077","0.5112","0.518","0.5357","0.5627","0.5828","0.6493","0.6626","0.6706","0.796","0.8147","0.7983","0.8385","0.854","0.8672","0.8755","0.8807","0.8424","0.8739","0.8266","0.8921","0.8636","0.8192","0.8579","0.8848","0.8891","0.8682","0.8533","0.7995","0.7707","0.7181","0.6986","",
"Austria","AUT","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.0146","0.0197","0.0189","0.0184","0.0175","0.0165","0.0215","0.0158","0.0174","0.0166","0.0196","0.0219","0.0215","0.0234","0.0272","0.0292","0.029","0.0308","0.032","0.0317","0.0422","0.0471","0.0395","0.0399","0.0447","0.0494","0.0563","0.0538","0.049","0.0512","0.051","0.0572","0.0586","0.0666","0.0709","0.0731","0.0822","0.0885","0.0947","0.0969","0.1107","0.1164","0.1198","0.117","0.1086","0.1109","0.1074","0.1077","0.1059","0.1032","0.1038","0.1047","0.1026","0.1023","",
"Azerbaijan","AZE","Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.N2O.PI.MT.CE.AR5","","","","","","","","","","","0.0058","0.0058","0.0063","0.0074","0.0085","0.0093","0.0099","0.0105","0.011","0.0116","0.0121","0.0127","0.0129","0.0131","0.013","0.013","0.0129","0.0128","0.0123","0.0114","0.0146","0.0156","0.0192","0.0187","0.0146","0.0142","0.0134","0.0128","0.0138","0.0137","0.0142","0.0098","0.009","0.0104","0.0088","0.0096","0.009","0.0077","0.0063","0.0047","0.004","0.0047","0.0057","0.0077","0.0085","0.0097","0.0099","0.0093","0.009","0.0091","0.0091","0.0096","0.0101","0.0108","",
