"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.N2O.TR.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0006","0.0007","0.0008","0.0008","0.0009","0.0012","0.0009","0.0017","0.0022","0.0026","0.0011","0.0011","0.0012","0.0013","0.0014","0.0016","0.0018","0.0019","0.0019","0.0019","0.0019","0.001","0.0013","0.0014","0.0016","0.0016","0.0019","0.0018","0.0016","0.002","0.0015","0.0017","0.0017","0.0018","",
"Africa Eastern and Southern","AFE","Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.N2O.TR.MT.CE.AR5","","","","","","","","","","","0.368","0.3796","0.4096","0.4406","0.4463","0.4516","0.4128","0.4023","0.4302","0.3913","0.4205","0.4236","0.4212","0.4255","0.4454","0.436","0.4443","0.4715","0.507","0.5094","0.5334","0.5151","0.5347","0.5736","0.6041","0.6315","0.6156","0.6055","0.6094","0.6544","0.6416","0.6632","0.6897","0.715","0.7456","0.7531","0.8148","0.8744","0.9396","0.9611","1.0241","1.1435","1.2219","1.3229","1.3461","1.4444","1.5584","1.6129","1.592","1.6364","1.4458","1.6152","1.5948","1.62","",
"Afghanistan","AFG","Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.N2O.TR.MT.CE.AR5","","","","","","","","","","","0.002","0.002","0.0023","0.0022","0.0023","0.0033","0.0027","0.003","0.0032","0.0035","0.0034","0.0046","0.0043","0.0059","0.0062","0.01","0.009","0.0102","0.0092","0.0086","0.0206","0.0194","0.0118","0.0115","0.0109","0.0075","0.007","0.0063","0.0057","0.0058","0.0034","0.0032","0.0025","0.0032","0.0028","0.0044","0.0061","0.0065","0.0196","0.0383","0.0531","0.0615","0.0585","0.0359","0.0272","0.0319","0.0228","0.0215","0.0266","0.0231","0.0231","0.025","0.0264","0.0274","",
"Africa Western and Central","AFW","Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.N2O.TR.MT.CE.AR5","","","","","","","","","","","0.0697","0.0761","0.0851","0.1011","0.1122","0.1263","0.1366","0.1617","0.1931","0.1883","0.2106","0.2247","0.2408","0.2304","0.2219","0.2024","0.2224","0.2138","0.2307","0.2305","0.2097","0.2522","0.2816","0.2573","0.2312","0.267","0.2887","0.2998","0.2479","0.2838","0.2951","0.3215","0.3594","0.3778","0.3905","0.3749","0.361","0.3551","0.4348","0.4661","0.537","0.5889","0.6673","0.778","0.8254","0.8207","1.0385","1.0263","1.0766","1.1482","1.0789","1.156","1.1998","1.1704","",
"Angola","AGO","Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.N2O.TR.MT.CE.AR5","","","","","","","","","","","0.0078","0.01","0.0175","0.0176","0.0187","0.0167","0.0139","0.0065","0.0157","0.0121","0.011","0.0096","0.0094","0.008","0.0069","0.0101","0.0101","0.0117","0.0142","0.015","0.0109","0.0149","0.0131","0.0133","0.018","0.0122","0.0105","0.0096","0.0075","0.01","0.0096","0.0107","0.0132","0.0222","0.0271","0.0199","0.0283","0.0324","0.0475","0.0557","0.0564","0.0663","0.0705","0.077","0.0791","0.0809","0.0965","0.0827","0.085","0.0985","0.046","0.0821","0.0941","0.0984","",
"Albania","ALB","Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.N2O.TR.MT.CE.AR5","","","","","","","","","","","0.0041","0.0041","0.0044","0.0042","0.0045","0.0047","0.0056","0.0058","0.0064","0.0072","0.0083","0.0051","0.0051","0.0055","0.0081","0.0062","0.0058","0.0061","0.007","0.0055","0.0041","0.0031","0.0025","0.0033","0.0045","0.0046","0.0046","0.0038","0.0052","0.0185","0.0187","0.0184","0.0203","0.0206","0.0198","0.0204","0.0184","0.0198","0.0221","0.013","0.0132","0.0136","0.0128","0.014","0.014","0.0139","0.0134","0.0134","0.0131","0.0132","0.0097","0.0106","0.0104","0.0105","",
"Andorra","AND","Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.N2O.TR.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.N2O.TR.MT.CE.AR5","","","","","","","","","","","0.2122","0.2224","0.2601","0.2985","0.3368","0.3718","0.4255","0.5055","0.6212","0.7061","0.7705","0.9338","1.0365","1.1994","1.221","1.3295","1.2725","1.3639","1.4009","1.4273","1.4532","1.4421","1.4966","1.5862","1.8225","2.0365","2.3731","2.7784","2.998","3.1198","2.1832","2.3484","2.487","2.4529","2.6293","2.7408","2.9012","3.1167","3.21","3.3766","3.8522","3.8933","4.148","4.468","4.5792","4.4287","4.8061","4.8141","4.8633","4.8928","4.5508","4.7491","4.966","5.0912","",
"United Arab Emirates","ARE","Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.N2O.TR.MT.CE.AR5","","","","","","","","","","","0.0038","0.0039","0.0052","0.0077","0.01","0.0169","0.0229","0.0236","0.0247","0.0322","0.0701","0.0846","0.0918","0.0942","0.0916","0.0929","0.0896","0.0977","0.0953","0.0981","0.1034","0.1021","0.0967","0.1088","0.1188","0.1426","0.165","0.1894","0.2011","0.2125","0.1541","0.1776","0.209","0.2263","0.2313","0.2447","0.2527","0.2592","0.2554","0.2782","0.3328","0.313","0.3","0.3476","0.3334","0.2445","0.285","0.3034","0.2808","0.2746","0.2497","0.2947","0.3417","0.3521","",
"Argentina","ARG","Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.N2O.TR.MT.CE.AR5","","","","","","","","","","","0.2836","0.2694","0.2869","0.2992","0.3087","0.3058","0.2975","0.3082","0.3289","0.3315","0.3408","0.3616","0.3544","0.3888","0.3705","0.338","0.3626","0.373","0.3582","0.3321","0.3398","0.4022","0.4349","0.4708","0.469","0.5217","0.6423","0.6962","0.822","0.9478","0.6255","0.5851","0.5354","0.5357","0.6275","0.6289","0.6209","0.6388","0.6105","0.535","0.5592","0.5812","0.6476","0.6638","0.6031","0.6822","0.6622","0.6731","0.6748","0.6739","0.5296","0.65","0.6792","0.6505","",
