"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CH4.PI.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0003","0.0002","0.0003","0.0003","0.0003","",
"Africa Eastern and Southern","AFE","Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CH4.PI.MT.CE.AR5","","","","","","","","","","","0.0192","0.0191","0.0201","0.0216","0.0237","0.0255","0.0278","0.0277","0.0229","0.0248","0.0264","0.0283","0.0298","0.0298","0.0312","0.0325","0.0331","0.0363","0.0354","0.0361","0.0394","0.0398","0.0408","0.0434","0.0437","0.0458","0.0488","0.0526","0.0564","0.055","0.0615","0.0595","0.0598","0.0646","0.0692","0.0701","0.0787","0.0797","0.087","0.0893","0.0904","0.086","0.0881","0.0921","0.0966","0.0998","0.0996","0.0975","0.1004","0.1054","0.092","0.0943","0.0922","0.0904","",
"Afghanistan","AFG","Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CH4.PI.MT.CE.AR5","","","","","","","","","","","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0003","0.0004","0.0003","0.0003","0.0003","0.0004","0.0004","0.0006","0.0005","0.0007","0.0007","0.0008","0.0007","0.0007","0.0006","0.0006","0.0004","0.0004","0.0004","0.0005","0.0005","0.0005","0.0006","0.0006","0.0005","0.0004","0.0004","0.0004","0.0004","0.0006","0.0006","0.0006","0.0012","0.0017","0.0019","0.0023","0.002","0.0017","0.0017","0.0019","0.0016","0.0016","0.0018","0.0015","0.0015","0.0015","0.0015","0.0016","",
"Africa Western and Central","AFW","Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CH4.PI.MT.CE.AR5","","","","","","","","","","","0.003","0.0032","0.0037","0.004","0.0044","0.0049","0.0056","0.0056","0.0055","0.0055","0.0066","0.0083","0.0104","0.0118","0.0118","0.0109","0.0109","0.0108","0.0113","0.0103","0.0108","0.0109","0.0128","0.0142","0.0135","0.0145","0.0163","0.0194","0.022","0.023","0.0232","0.0242","0.0271","0.025","0.0278","0.0303","0.0376","0.0339","0.034","0.0322","0.0407","0.0399","0.0428","0.0438","0.0496","0.0534","0.0556","0.0554","0.0612","0.0601","0.0647","0.0677","0.0678","0.0655","",
"Angola","AGO","Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CH4.PI.MT.CE.AR5","","","","","","","","","","","0.0002","0.0002","0.0002","0.0002","0.0004","0.0004","0.0004","0.0004","0.0004","0.0004","0.0004","0.0004","0.0005","0.0005","0.0001","0.0002","0.0002","0.0002","0.0003","0.0003","0.0003","0.0003","0.0002","0.0001","0.0002","0.0002","0.0002","0.0004","0.0004","0.0006","0.0008","0.0009","0.0009","0.0011","0.0007","0.0006","0.0007","0.001","0.0013","0.0023","0.0025","0.0024","0.0027","0.0042","0.0061","0.0065","0.0044","0.0043","0.0038","0.0056","0.0046","0.0051","0.0055","0.0055","",
"Albania","ALB","Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CH4.PI.MT.CE.AR5","","","","","","","","","","","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0002","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Andorra","AND","Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CH4.PI.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CH4.PI.MT.CE.AR5","","","","","","","","","","","0.0136","0.0137","0.0163","0.0207","0.0227","0.0291","0.0344","0.0415","0.0527","0.0681","0.0906","0.0993","0.1131","0.1238","0.1404","0.1521","0.1645","0.1725","0.1875","0.1964","0.2008","0.195","0.2331","0.2721","0.2976","0.3082","0.3162","0.3556","0.3497","0.3469","0.3726","0.4055","0.4194","0.4454","0.4838","0.5248","0.5666","0.5739","0.6367","0.6779","0.7205","0.749","0.8109","0.8334","0.8698","0.9231","0.94","0.9982","0.9837","1.0049","0.9666","1.0055","1.0185","1.0415","",
"United Arab Emirates","ARE","Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CH4.PI.MT.CE.AR5","","","","","","","","","","","0.0001","0.0001","0.0002","0.001","0.0011","0.0018","0.0025","0.0034","0.0049","0.0066","0.0084","0.0083","0.0104","0.012","0.0128","0.014","0.0137","0.0156","0.0171","0.0183","0.0202","0.0206","0.0224","0.0271","0.03","0.0317","0.034","0.0369","0.0414","0.0466","0.0524","0.0579","0.0641","0.0714","0.0865","0.0921","0.0994","0.0997","0.1199","0.1041","0.1076","0.1104","0.1148","0.1154","0.1213","0.1294","0.1297","0.133","0.1322","0.131","0.1275","0.1288","0.1203","0.1141","",
"Argentina","ARG","Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","EN.GHG.CH4.PI.MT.CE.AR5","","","","","","","","","","","0.0157","0.0163","0.0187","0.0149","0.0152","0.0156","0.0159","0.0183","0.016","0.0188","0.0175","0.016","0.016","0.0184","0.0165","0.0152","0.0179","0.0183","0.0249","0.0235","0.0202","0.0218","0.021","0.0203","0.0205","0.0234","0.0294","0.029","0.0324","0.0401","0.0419","0.0388","0.0397","0.0467","0.056","0.0598","0.0598","0.0591","0.0649","0.0636","0.0666","0.0725","0.0771","0.0768","0.0727","0.0782","0.0828","0.0855","0.0782","0.078","0.0849","0.0918","0.0957","0.0917","",
