"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CH4.TR.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0004","0.0005","0.0006","0.0006","0.0007","0.0007","0.0004","0.0007","0.0008","0.0008","0.0006","0.0006","0.0006","0.0006","0.0006","0.0007","0.0007","0.0007","0.0007","0.0008","0.0009","0.0005","0.0006","0.0007","0.0007","0.0008","0.0008","0.0007","0.0007","0.0009","0.0007","0.0008","0.0008","0.0008","",
"Africa Eastern and Southern","AFE","Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CH4.TR.MT.CE.AR5","","","","","","","","","","","0.2141","0.2135","0.2304","0.2462","0.2342","0.2511","0.2522","0.2469","0.2591","0.237","0.249","0.2625","0.2643","0.2691","0.2861","0.2816","0.2885","0.3095","0.3372","0.3436","0.3569","0.3649","0.3688","0.3654","0.3888","0.4338","0.423","0.4312","0.4278","0.4363","0.4295","0.4395","0.4484","0.4614","0.4877","0.5006","0.499","0.5147","0.5142","0.5277","0.5349","0.5558","0.5733","0.6113","0.5983","0.6166","0.6405","0.6457","0.652","0.6536","0.5858","0.6593","0.6494","0.6586","",
"Afghanistan","AFG","Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CH4.TR.MT.CE.AR5","","","","","","","","","","","0.0018","0.0019","0.0022","0.0022","0.0019","0.0021","0.0021","0.0023","0.0026","0.0028","0.003","0.0037","0.0041","0.0058","0.0055","0.0057","0.005","0.0061","0.0059","0.006","0.0082","0.0086","0.0057","0.0064","0.007","0.0061","0.0059","0.0057","0.0057","0.0052","0.0028","0.0025","0.0024","0.0029","0.0023","0.0042","0.0044","0.004","0.0092","0.015","0.0211","0.0247","0.0221","0.015","0.0103","0.0137","0.01","0.0096","0.0126","0.0111","0.0125","0.0131","0.0138","0.0141","",
"Africa Western and Central","AFW","Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CH4.TR.MT.CE.AR5","","","","","","","","","","","0.0528","0.052","0.0567","0.0629","0.0678","0.0803","0.0993","0.1224","0.1409","0.1449","0.1622","0.1638","0.1664","0.1661","0.1644","0.162","0.161","0.1744","0.1881","0.1949","0.1594","0.191","0.2167","0.1931","0.1713","0.1873","0.2032","0.2463","0.1911","0.2462","0.2565","0.286","0.3325","0.3403","0.348","0.3452","0.3284","0.3428","0.3789","0.4021","0.4519","0.4949","0.5407","0.6308","0.658","0.636","0.7147","0.7126","0.7545","0.8061","0.7516","0.8187","0.8508","0.8282","",
"Angola","AGO","Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CH4.TR.MT.CE.AR5","","","","","","","","","","","0.0045","0.0047","0.0085","0.0075","0.0067","0.0048","0.0049","0.0041","0.0067","0.0056","0.0057","0.0052","0.0051","0.0044","0.0053","0.0061","0.0062","0.0065","0.0074","0.0076","0.0063","0.0071","0.0067","0.0069","0.0084","0.0066","0.0061","0.0061","0.0047","0.0067","0.0062","0.007","0.0084","0.0085","0.018","0.0128","0.0156","0.02","0.0267","0.0331","0.0293","0.0328","0.0421","0.0443","0.0465","0.0446","0.0422","0.0345","0.0351","0.0385","0.023","0.0447","0.0512","0.0535","",
"Albania","ALB","Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CH4.TR.MT.CE.AR5","","","","","","","","","","","0.0046","0.0046","0.0048","0.0043","0.0047","0.0049","0.0061","0.0064","0.0073","0.0081","0.0092","0.0067","0.0062","0.0064","0.0099","0.0065","0.0055","0.006","0.0075","0.0047","0.0035","0.0027","0.0026","0.0038","0.0056","0.006","0.0061","0.0052","0.0058","0.006","0.0057","0.0058","0.007","0.007","0.0075","0.0075","0.0066","0.0059","0.0045","0.0046","0.0047","0.0049","0.0046","0.0052","0.0053","0.0053","0.0052","0.0051","0.0055","0.0055","0.004","0.0042","0.0043","0.0043","",
"Andorra","AND","Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CH4.TR.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CH4.TR.MT.CE.AR5","","","","","","","","","","","0.2835","0.2782","0.3047","0.3313","0.3811","0.4011","0.4626","0.5359","0.6124","0.6731","0.7763","0.8504","0.9232","1.0358","1.0871","1.1444","1.159","1.2011","1.2378","1.3661","1.4131","1.4459","1.596","1.6662","1.7217","1.7617","1.8205","1.7759","1.9444","2.0481","2.1249","2.1885","2.215","2.1993","2.3425","2.5482","2.3286","2.2837","2.52","2.5415","2.5558","2.6299","2.7844","2.7998","2.7953","2.4445","2.0934","1.9754","1.9228","1.9423","1.8279","1.9059","1.9678","2.0007","",
"United Arab Emirates","ARE","Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CH4.TR.MT.CE.AR5","","","","","","","","","","","0.0034","0.0034","0.0042","0.0056","0.0073","0.0105","0.0136","0.0157","0.0184","0.0234","0.0416","0.0466","0.0505","0.0528","0.0543","0.0497","0.0492","0.0508","0.0542","0.0578","0.063","0.0647","0.0622","0.068","0.0655","0.0724","0.0721","0.0698","0.0698","0.0686","0.0747","0.0838","0.0935","0.094","0.0868","0.0875","0.0812","0.079","0.081","0.0973","0.1","0.1005","0.0985","0.1177","0.1212","0.1012","0.1131","0.1248","0.128","0.1202","0.101","0.1193","0.1373","0.1411","",
"Argentina","ARG","Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CH4.TR.MT.CE.AR5","","","","","","","","","","","0.173","0.1728","0.1833","0.1927","0.1886","0.1684","0.164","0.1762","0.1872","0.2015","0.2151","0.2159","0.2194","0.2165","0.2075","0.1886","0.1971","0.2006","0.1849","0.1808","0.189","0.2045","0.229","0.2449","0.2346","0.2352","0.2765","0.2665","0.2781","0.2549","0.2419","0.2322","0.2028","0.1904","0.22","0.2149","0.201","0.2157","0.2236","0.2166","0.2309","0.243","0.2668","0.2624","0.243","0.2629","0.2446","0.246","0.2507","0.2488","0.1903","0.2409","0.2546","0.2439","",
