"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Methane (CH4) emissions from Waste (Mt CO2e)","EN.GHG.CH4.WA.MT.CE.AR5","","","","","","","","","","","0.0112","0.0124","0.0126","0.0127","0.0128","0.0129","0.0129","0.0128","0.0128","0.0128","0.0128","0.0129","0.013","0.0132","0.0133","0.0133","0.0133","0.0131","0.0129","0.0128","0.013","0.0135","0.0141","0.0148","0.0155","0.0161","0.0164","0.0167","0.0168","0.0168","0.017","0.0171","0.0171","0.0173","0.0175","0.0176","0.0176","0.0175","0.0174","0.0169","0.0167","0.0168","0.0168","0.0169","0.017","0.017","0.0171","0.0173","0.0174","0.0175","0.0176","0.0177","0.0178","0.0179","",
"Africa Eastern and Southern","AFE","Methane (CH4) emissions from Waste (Mt CO2e)","EN.GHG.CH4.WA.MT.CE.AR5","","","","","","","","","","","17.7073","18.9481","19.5494","20.1358","20.6964","21.1768","21.8386","22.5001","23.1473","23.7838","24.5187","25.2773","26.1432","26.6902","27.2581","28.0936","28.9549","29.8707","30.761","32.7663","33.8026","34.7468","35.4343","36.271","36.6705","38.3693","39.5498","41.0025","41.9172","42.8183","43.8037","45.0108","46.5425","47.7474","53.2234","54.7427","52.7803","54.6804","56.4901","57.576","59.5045","61.5057","64.8828","67.4425","69.2423","71.0568","72.8356","75.0062","77.0167","79.095","81.0287","83.4055","85.6186","87.871","",
"Afghanistan","AFG","Methane (CH4) emissions from Waste (Mt CO2e)","EN.GHG.CH4.WA.MT.CE.AR5","","","","","","","","","","","0.3784","0.3995","0.4117","0.4274","0.4424","0.4568","0.4847","0.5003","0.5139","0.5218","0.5256","0.525","0.5199","0.5113","0.5032","0.4992","0.4951","0.4974","0.5044","0.5172","0.5415","0.5717","0.6118","0.6573","0.697","0.7362","0.7674","0.7938","0.8168","0.8389","0.867","0.9038","0.9503","1.0025","1.049","1.1017","1.1426","1.1951","1.235","1.305","1.3736","1.4212","1.4955","1.564","1.6169","1.6649","1.7157","1.767","1.8107","1.8576","1.9038","1.9499","1.9979","2.045","",
"Africa Western and Central","AFW","Methane (CH4) emissions from Waste (Mt CO2e)","EN.GHG.CH4.WA.MT.CE.AR5","","","","","","","","","","","11.7018","12.2514","12.5923","12.9528","13.3304","13.7291","14.155","14.5864","15.0369","15.4962","16.0161","16.462","16.7868","17.2185","17.6595","18.1314","18.5922","19.11","19.6613","20.1435","20.6734","21.153","21.6381","22.0675","22.5054","23.0281","23.6133","24.2085","24.8539","25.429","25.993","27.0871","28.1801","29.2141","30.3524","31.4345","32.6658","33.6677","34.8792","36.3388","37.8818","39.4582","41.1109","42.7638","44.5334","46.218","47.688","49.3215","50.9363","52.4852","54.0509","55.6754","57.2665","58.8546","",
"Angola","AGO","Methane (CH4) emissions from Waste (Mt CO2e)","EN.GHG.CH4.WA.MT.CE.AR5","","","","","","","","","","","0.3716","0.3851","0.401","0.4234","0.4276","0.4431","0.4596","0.4774","0.496","0.5162","0.5375","0.5616","0.5871","0.5612","0.5881","0.6147","0.6412","0.6668","0.6924","0.719","0.7478","0.7777","0.803","0.8071","0.8328","0.8729","0.9149","0.9501","0.9822","1.0113","1.046","1.0984","1.1721","1.2363","5.4162","5.3606","1.531","1.6663","1.8277","1.9318","2.0419","2.1553","2.2882","2.4201","2.5558","2.6642","2.7549","2.8532","2.9457","3.0483","3.1504","3.2522","3.3554","3.4594","",
"Albania","ALB","Methane (CH4) emissions from Waste (Mt CO2e)","EN.GHG.CH4.WA.MT.CE.AR5","","","","","","","","","","","0.2206","0.2391","0.2493","0.258","0.2667","0.2755","0.2856","0.2955","0.3159","0.3244","0.3335","0.3422","0.3498","0.3576","0.3665","0.3745","0.386","0.3946","0.4063","0.4183","0.4373","0.4162","0.392","0.3898","0.3866","0.3861","0.3852","0.3762","0.3758","0.3576","0.3563","0.3651","0.3732","0.3814","0.3894","0.397","0.4075","0.4178","0.4221","0.4338","0.4431","0.4528","0.4627","0.4732","0.484","0.4961","0.506","0.5161","0.527","0.5389","0.5484","0.5588","0.5694","0.5798","",
"Andorra","AND","Methane (CH4) emissions from Waste (Mt CO2e)","EN.GHG.CH4.WA.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Methane (CH4) emissions from Waste (Mt CO2e)","EN.GHG.CH4.WA.MT.CE.AR5","","","","","","","","","","","22.0364","24.8841","26.0527","27.2313","28.5092","29.8558","31.3122","32.8167","34.4717","36.2846","38.0311","39.5796","41.3763","43.3573","45.9276","48.51","50.6721","52.7693","54.6814","56.4962","58.0576","58.7612","60.8201","63.0266","64.6663","66.1288","67.8693","69.9387","72.9655","74.6684","76.6141","80.0488","82.5741","84.9541","88.8063","93.075","97.1373","100.2574","104.5158","109.1011","115.2157","120.0385","124.6188","128.4606","132.2491","135.6746","139.8048","144.0038","146.037","148.708","152.0813","157.8071","161.3765","165.0791","",
"United Arab Emirates","ARE","Methane (CH4) emissions from Waste (Mt CO2e)","EN.GHG.CH4.WA.MT.CE.AR5","","","","","","","","","","","0.1438","0.1864","0.222","0.2644","0.3135","0.3679","0.43","0.4987","0.5702","0.6396","0.7035","0.7555","0.7999","0.8393","0.9286","1.0242","1.0849","1.1443","1.2022","1.2645","1.3241","1.374","1.4319","1.4941","1.5666","1.6724","1.7794","1.8946","1.9944","2.1092","2.2521","2.3798","2.5206","2.72","2.9713","3.2553","3.6938","4.1772","4.6922","5.1197","5.5256","5.9253","6.1449","6.3738","6.5354","6.705","6.8288","6.9176","7.0496","7.1742","7.2986","7.3721","7.5438","7.6684","",
"Argentina","ARG","Methane (CH4) emissions from Waste (Mt CO2e)","EN.GHG.CH4.WA.MT.CE.AR5","","","","","","","","","","","6.7884","7.4675","7.7538","7.9501","8.14","8.3096","8.6195","8.7945","9.0334","9.3455","9.3519","9.4453","9.8788","10.2852","10.5124","10.7247","11.0424","11.2467","11.2428","11.3696","11.5891","11.8657","12.2123","12.6087","12.9228","12.9649","13.0754","13.6127","13.5677","13.539","13.7989","14.0471","14.0203","14.5863","15.142","13.6332","14.0507","10.8445","9.6131","9.3777","9.417","9.4555","9.6734","9.9203","10.1262","10.2897","10.3319","10.5828","10.6526","10.6773","10.5542","10.6161","10.7994","10.8433","",
