"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","EN.GHG.N2O.AG.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0009","0.0009","0.0009","0.0009","0.001","0.001","0.0009","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","",
"Africa Eastern and Southern","AFE","Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","EN.GHG.N2O.AG.MT.CE.AR5","","","","","","","","","","","60.3082","60.7643","61.5914","62.4005","63.3937","64.6012","64.9206","66.1327","67.8881","69.7764","70.1491","71.266","72.5016","72.6107","72.6074","73.5209","74.0661","72.8151","74.7988","76.4996","77.9229","77.0259","78.6039","78.0583","79.3242","80.4965","82.464","84.5609","86.8976","89.624","89.554","91.3567","93.2536","93.9788","96.046","98.9423","100.1703","106.8384","110.7387","112.7945","116.1081","116.5075","120.6087","123.2857","125.5817","126.0901","129.7752","130.2454","131.633","136.3278","141.6429","140.3746","143.047","145.7224","",
"Afghanistan","AFG","Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","EN.GHG.N2O.AG.MT.CE.AR5","","","","","","","","","","","2.4378","2.4009","1.8745","2.0562","2.2492","2.4423","2.5156","2.4786","2.4451","2.375","2.4102","2.3766","2.4297","2.2844","2.1669","1.9872","1.6712","1.8111","1.8859","1.8766","1.8395","1.8922","1.8625","1.8829","1.7115","1.7962","1.9903","2.1937","2.3683","2.5916","2.2309","1.9857","2.3362","2.4233","2.4067","2.5109","2.4665","2.472","2.7046","2.8576","3.1896","3.2347","3.2505","3.1859","3.3362","3.3587","3.4896","3.9812","3.44","3.4589","3.1852","3.0559","3.0114","3.0108","",
"Africa Western and Central","AFW","Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","EN.GHG.N2O.AG.MT.CE.AR5","","","","","","","","","","","20.238","20.6913","20.5165","19.4684","19.1233","20.1186","21.0876","21.9622","22.8185","23.8311","25.1424","26.0811","26.5335","26.6573","25.7093","26.1849","26.8607","27.5226","28.7474","29.783","30.539","31.4293","32.0755","33.4109","34.2608","34.7445","35.8588","37.0169","38.3406","39.7946","41.1963","42.7194","43.9002","46.0509","47.3296","48.9571","50.5389","52.0658","54.4248","55.8154","58.4921","60.7823","62.7231","65.9671","67.3294","69.45","72.5422","76.2725","78.3679","80.9041","82.5639","86.9223","89.6671","92.6743","",
"Angola","AGO","Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","EN.GHG.N2O.AG.MT.CE.AR5","","","","","","","","","","","1.1951","1.2806","1.3141","1.3369","1.356","1.3802","1.303","1.3238","1.3693","1.4174","1.4601","1.4822","1.5068","1.5325","1.5577","1.5812","1.6079","1.5732","1.5345","1.4993","1.4906","1.5408","1.5984","1.5826","1.5614","1.5888","1.7344","1.848","2.0064","2.0032","2.0767","2.0916","2.0901","2.0811","2.0634","2.2319","2.2945","2.3764","2.4361","2.5409","2.6375","2.7349","2.7803","2.931","3.0144","3.1219","3.143","3.0983","3.0977","3.2277","3.2654","3.3313","3.3954","3.4516","",
"Albania","ALB","Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","EN.GHG.N2O.AG.MT.CE.AR5","","","","","","","","","","","0.5811","0.5672","0.5581","0.5694","0.5815","0.5828","0.6635","0.7131","0.8549","0.875","0.8725","0.9133","0.9063","0.9321","0.951","0.9297","0.9553","0.9498","0.9955","1.0748","1.003","0.7264","0.6685","0.7201","0.8773","0.84","0.7769","0.7269","0.771","0.7314","0.7438","0.7415","0.7949","0.7527","0.8212","0.6959","0.7474","0.7161","0.6621","0.6569","0.6489","0.6654","0.7341","0.6826","0.7479","0.7679","0.7546","0.7359","0.7146","0.7374","0.6635","0.6391","0.6103","0.5851","",
"Andorra","AND","Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","EN.GHG.N2O.AG.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","EN.GHG.N2O.AG.MT.CE.AR5","","","","","","","","","","","26.0797","26.2554","26.5068","26.5951","26.6731","28.2609","28.6345","29.0257","30.2526","31.3602","33.2557","34.0412","35.0979","35.4471","36.2053","37.5796","38.2724","39.1268","40.2626","40.4418","40.9144","39.9974","41.4777","44.4436","44.7181","46.0505","48.0619","49.7258","51.2187","52.4912","54.4374","56.7223","58.5572","58.0065","59.8364","61.1946","60.9125","60.5638","59.8849","60.9649","61.295","61.9162","62.9177","63.123","63.9846","63.9124","65.007","63.863","65.11","63.5324","63.7102","63.5965","63.9516","64.3932","",
"United Arab Emirates","ARE","Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","EN.GHG.N2O.AG.MT.CE.AR5","","","","","","","","","","","0.0489","0.0536","0.0564","0.0639","0.0652","0.0519","0.0344","0.0423","0.0519","0.0539","0.0601","0.0641","0.0687","0.0753","0.0814","0.0869","0.0954","0.1017","0.1096","0.1145","0.1221","0.1308","0.14","0.1499","0.1629","0.1733","0.1889","0.197","0.207","0.2238","0.2361","0.2487","0.2625","0.279","0.2756","0.2929","0.3042","0.317","0.3376","0.399","0.3718","0.3697","0.3658","0.4105","0.4443","0.4666","0.4693","0.4779","0.4824","0.478","0.4844","0.4886","0.5209","0.5294","",
"Argentina","ARG","Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","EN.GHG.N2O.AG.MT.CE.AR5","","","","","","","","","","","21.6478","22.1161","22.8467","23.7999","23.4876","23.9562","24.5804","25.3779","24.3549","24.1346","23.6467","23.3658","23.0041","23.3563","23.8266","23.4208","23.1524","22.6873","23.4395","23.5449","23.9451","23.6927","24.0027","23.505","24.2301","24.1099","24.379","24.5029","24.0375","24.2518","24.6333","25.2749","26.1535","28.0295","29.0756","28.761","29.9316","31.303","29.4258","27.0705","27.2917","27.7752","27.4518","28.5257","29.1041","28.2651","30.7179","31.7301","31.9763","33.5106","34.0969","34.1773","34.9993","36.0986","",
