"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","EN.GHG.N2O.BU.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0.0001","0.0001","0.0001","0.0001","0","0","0","0.0002","0.0002","0.0002","0.0002","0.0003","0.0004","0.0004","0.0004","0.0004","0.0004","0.0005","0.0005","0.0003","0.0006","0.0007","0.0006","0.0002","0.0002","0.0002","0.0002","0.0002","0.0003","0.0002","0.0003","0.0002","0.0003","0.0003","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0003","0.0002","0.0003","0.0002","0.0003","",
"Africa Eastern and Southern","AFE","Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","EN.GHG.N2O.BU.MT.CE.AR5","","","","","","","","","","","2.3965","2.3956","2.4493","2.4973","2.5502","2.6152","2.6664","2.7034","2.7625","2.7994","2.864","2.9333","2.9802","3.0471","3.1485","3.216","3.2701","3.3831","3.4499","3.5371","3.5906","3.6552","3.7232","3.9432","4.7022","4.8955","5.0663","5.1578","5.2376","5.4244","5.4114","5.4834","5.614","5.7723","5.8829","5.9992","6.175","6.1819","6.2927","6.4055","6.4505","6.652","6.583","6.8306","7.0398","7.1198","7.2339","7.5498","7.4894","7.62","7.719","7.9022","7.956","7.9859","",
"Afghanistan","AFG","Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","EN.GHG.N2O.BU.MT.CE.AR5","","","","","","","","","","","0.0036","0.0036","0.0036","0.0038","0.0042","0.0039","0.0038","0.0038","0.0039","0.004","0.005","0.0051","0.0052","0.0059","0.0055","0.0068","0.0096","0.0094","0.0094","0.0095","0.0123","0.0121","0.0101","0.0105","0.0108","0.0127","0.0131","0.0143","0.0147","0.0152","0.0131","0.0134","0.0139","0.0143","0.0146","0.0149","0.0153","0.0184","0.0228","0.0269","0.0304","0.0335","0.0307","0.0301","0.0279","0.0294","0.0275","0.0275","0.0292","0.0281","0.029","0.0296","0.0304","0.0306","",
"Africa Western and Central","AFW","Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","EN.GHG.N2O.BU.MT.CE.AR5","","","","","","","","","","","2.1183","2.1193","2.1751","2.2273","2.2688","2.3402","2.4073","2.493","2.5728","2.5848","2.6551","2.716","2.7935","2.8597","2.9386","3.0229","3.1091","3.1964","3.2638","3.3478","3.5295","3.6117","3.6805","3.7522","3.8227","3.9434","4.0283","4.1291","4.2249","4.3448","4.3242","4.4063","4.4671","4.5585","4.6916","4.8166","4.901","4.9919","5.1024","5.2351","5.3538","5.4985","5.6796","5.7754","5.9187","5.9464","6.0031","6.0871","6.124","6.236","6.3533","6.4727","6.5241","6.5215","",
"Angola","AGO","Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","EN.GHG.N2O.BU.MT.CE.AR5","","","","","","","","","","","0.0903","0.0903","0.0908","0.0915","0.0924","0.0935","0.0948","0.0964","0.0987","0.1011","0.1032","0.1048","0.106","0.108","0.115","0.1163","0.1179","0.1193","0.1211","0.1229","0.1256","0.1278","0.1303","0.1328","0.1356","0.1371","0.1394","0.1407","0.1425","0.1448","0.1455","0.1471","0.1488","0.1502","0.1517","0.1525","0.1577","0.1616","0.1661","0.1705","0.1744","0.1786","0.1828","0.1892","0.1921","0.1931","0.1948","0.1951","0.197","0.2011","0.1994","0.2041","0.2094","0.2098","",
"Albania","ALB","Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","EN.GHG.N2O.BU.MT.CE.AR5","","","","","","","","","","","0.0191","0.0191","0.0193","0.0196","0.0198","0.0203","0.0204","0.0207","0.0213","0.0224","0.0204","0.0207","0.0211","0.0214","0.0217","0.022","0.0224","0.0224","0.0227","0.022","0.0236","0.0206","0.0177","0.0165","0.0157","0.0149","0.0146","0.0137","0.0129","0.0307","0.0306","0.0313","0.0346","0.0326","0.0161","0.0267","0.0461","0.0244","0.023","0.0218","0.0215","0.0248","0.0227","0.0239","0.0242","0.0243","0.0238","0.0236","0.0233","0.0233","0.0218","0.021","0.0195","0.0197","",
"Andorra","AND","Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","EN.GHG.N2O.BU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","EN.GHG.N2O.BU.MT.CE.AR5","","","","","","","","","","","0.3802","0.3811","0.3985","0.4202","0.4479","0.4835","0.5175","0.542","0.5793","0.6159","0.7231","0.653","0.68","0.7078","0.7322","0.6315","0.6278","0.6359","0.5815","0.5922","0.6232","0.7004","0.6924","0.7016","0.7327","0.8166","0.8602","0.8908","0.9257","1.0232","1.0529","1.0715","1.1319","1.175","1.5488","1.9857","2.083","2.1568","2.1849","1.9841","1.9409","1.9438","1.9013","1.4587","1.4637","1.3977","1.4021","1.4135","1.471","1.4635","1.4124","1.4846","1.4658","1.457","",
"United Arab Emirates","ARE","Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","EN.GHG.N2O.BU.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0015","0.0013","0.0012","0.0012","0.0009","0.0009","0.0009","0.0009","0.0009","0.0009","0.0008","0.0008","0.0012","0.0012","0.0014","0.0016","0.0019","0.0022","0.0023","0.0023","0.0023","0.0024","0.0023","0.0023","0.0023","0.0023","0.0022","0.0021","0.002","0.0021","0.0028","0.0028","",
"Argentina","ARG","Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","EN.GHG.N2O.BU.MT.CE.AR5","","","","","","","","","","","0.2928","0.2928","0.3117","0.3299","0.3615","0.3884","0.3971","0.4297","0.4395","0.479","0.4737","0.4809","0.4914","0.5003","0.5176","0.5081","0.5128","0.5628","0.5538","0.48","0.4929","0.5447","0.6071","0.6643","0.7735","0.8192","0.8658","0.8479","0.8106","0.8229","0.7982","0.7495","0.7541","0.8836","0.982","1.0563","1.1108","1.2056","1.1882","1.0711","1.1675","1.1938","1.1176","1.2566","1.1371","1.1749","1.168","1.2026","1.0659","1.0565","0.9352","1.1326","1.2139","1.1546","",
