"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","4.77857420681225","4.61656694296536","4.53027102179369","4.50985639104451","4.4998147135118","4.47150919988118","4.44629273448736","4.43808407186455","4.46625344352617","4.54185325525319","4.63141910546659","4.72052484896744","4.82240082966036","4.94652406417112","5.08868314850612","5.22872527804338","5.39621698191817","5.57633175434223","5.71504386619567","5.82128843192768","5.88206111919566","5.87468870087246","5.83124313513336","5.8124969497812","5.89166828259324","6.09883655439872","6.42215111511312","6.84351243396469","7.29618579146843","7.68019790846733","7.90688848124486","7.90200773623135","7.96812749003984","8.18437567626055","8.26297248937598","8.22331860446204","8.20725824471931","8.2804333970682","8.45678249041672","8.73202582999256","9.00735294117647","9.27995391705069","9.48316143369993","9.54945191406735","9.55060579278866","9.45634595360996","9.22942110739909","8.94481503941783","8.65278595514639","8.34982485475114","8.06183214894975","7.8290559262757","7.65335066167445","7.48903194062897","7.31329755272887","7.10853003369115","6.89727969117558","6.70383804470558","6.53753267275564","6.41915954415954","6.33422515327127","6.25917786078232","6.2036909651933","6.16908591604551","6.15095300593547",
"Africa Eastern and Southern","AFE","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","4.52501577684537","4.50765585108394","4.48699122004867","4.4645307264871","4.43955287146725","4.41271137445798","4.38792747263182","4.3627676151718","4.33566983059284","4.30762320113247","4.28022268025522","4.25374611342102","4.22527109996719","4.19300912265925","4.15902083706165","4.12519694909172","4.09260710826855","4.06441159698219","4.04269414309219","4.02111702913701","3.98963092873906","3.96431566589032","3.95423013505796","3.95780825926904","3.97320775151249","3.99276139429605","4.01289072602624","4.03525870671262","4.05404049904089","4.07082230064343","4.08357111890432","4.08702585003905","4.08212205050296","4.10858087859087","4.09687882095071","4.04009624720193","3.99291037972507","3.95948981087594","3.96599841882454","3.98184908650342","4.00079853346285","4.0196421708769","4.03262327751724","4.03553706073682","4.02953810658499","4.02120117351215","4.01683687121505","4.02032445140303","4.03200797770982","4.05020090535559","4.07349157534686","4.100948456347","4.12874886667065","4.15235679315661","4.17083301839055","4.19027883960906","4.21117520129445","4.23912024541586","4.28430285708497","4.34348950631866","4.41123413567877","4.48118800733673","4.54489537207372","4.59908042080925","4.64569642221427",
"Afghanistan","AFG","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","4.84688966141427","4.84179857796286","4.83479830231938","4.82786790707138","4.8243638131059","4.82296565628449","4.82378966098352","4.82819521710558","4.82924840415771","4.81773191485749","4.79273122211217","4.75622497055658","4.70855358666257","4.65516245977363","4.60384525038126","4.557361765046","4.51676605523509","4.48333518576702","4.45252731300443","4.41542459805249","4.36845425396505","4.31243130845122","4.2497406231883","4.195764481337","4.15052457047351","4.10984240664952","4.07011731842843","4.02062194385522","3.93886566105752","3.84736480845432","3.75207540832549","3.65366696416143","3.57845717288984","3.53299968364119","3.49583237022324","3.46118434977305","3.43369191569575","3.4035309942273","3.3746302401603","3.34988856802689","3.32994358246657","3.31440449301889","3.30752507812211","3.31034328853906","3.32282737925856","3.34559591913735","3.37881152278646","3.42237740412002","3.47358904240718","3.52812358944607","3.58433580774016","3.63935185199247","3.69138969267383","3.74055584016778","3.78682999771796","3.82904607848641","3.86569924017387","3.8955571729772","3.91744318622386","3.93253337783904","3.9463483989884","3.95455992869675","3.9578426596437","3.96390225652954","3.97510465555852",
"Africa Western and Central","AFW","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","4.82863115589075","4.82305214772743","4.80868048623676","4.79083497889484","4.76969828621856","4.74710790570338","4.72370386669961","4.69928916008947","4.67381495475153","4.64708723336943","4.62166983812452","4.59932836928599","4.57813983856933","4.55700295830798","4.53494710726618","4.51012185627874","4.48209095155073","4.45258108639725","4.42222406435326","4.38937780777849","4.35596716714338","4.32379603407708","4.29209753792172","4.26009345695018","4.23125279814212","4.20653465429899","4.17958981305844","4.14305773436057","4.08253543638273","4.0063334137317","3.942303727261","3.89589462603554","3.86568639343939","3.86216230957966","3.87866587060505","3.89379781510196","3.90512322163165","3.91776342179875","3.93274840587194","3.94854487671596","3.9623615906419","3.9779628860094","3.99754245809532","4.01727630598971","4.03662171645537","4.0547709743005","4.06784915199392","4.07812457386477","4.09386217348223","4.11584050966543","4.140337485474","4.16675353030762","4.19716055258454","4.23332551766989","4.2734925945212","4.31929314792507","4.3724427116092","4.4305162229193","4.4917340227066","4.55160059302082","4.60303240202628","4.64367552956745","4.67787159143779","4.70860568111263","4.72885448871574",
"Angola","AGO","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","4.79059106511308","4.77308900552748","4.73794512287216","4.70455909472041","4.6756045726199","4.65169298035047","4.63192045601553","4.61506463386841","4.59969084925779","4.58515996094255","4.61110047913832","4.67551005356549","4.73429842779073","4.77577423948348","4.79014216574751","4.7763520082394","4.74002587923852","4.69028422916334","4.63082212256316","4.55743493590805","4.47656458591824","4.39831178664506","4.32755023892133","4.27369017970985","4.24720381829753","4.24817015764542","4.26538462188047","4.28428471909428","4.28028447346676","4.24016609001524","4.18642225792161","4.13706601382036","4.10154327499869","4.09764985236074","4.13192714422541","4.18966768780042","4.25451296996122","4.31922667672699","4.37738306113401","4.42397114367082","4.45765364797083","4.47855180725924","4.48532372000742","4.47733722006893","4.45504750292102","4.42071918101545","4.37674170445501","4.3289081075585","4.28479689422994","4.24767304725619","4.21531371799937","4.1838081634148","4.15406207009888","4.13045228098798","4.1142773746383","4.10832899353484","4.1173017374663","4.13759929301489","4.16206153283098","4.18855495204051","4.21647667813296","4.24564459466142","4.27780655245495","4.31313590760815","4.34981708061727",
"Albania","ALB","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","4.45044422590582","4.37733724153803","4.31444715387975","4.27746572921167","4.2747192461598","4.30112190683925","4.34283783152925","4.39051298910782","4.44629540729577","4.51223555815361","4.58859683713847","4.6736806362445","4.75645623840224","4.82384965381478","4.87520663842523","4.92244066243451","4.97427465124914","5.03177593651499","5.0883585003421","5.13699209631271","5.16876986458803","5.17632642347562","5.18107932966165","5.17442078013967","5.11348134193696","4.98010033395594","4.82592365517815","4.6838102962531","4.61173383799329","4.70085717498211","4.95527336989196","5.22430918677664","5.40195131549171","5.54153406213842","5.69911348831176","5.89878979120798","6.12560322083177","6.36313262203497","6.58884439729095","6.78700196920461","6.93787232500947","7.05556480453716","7.14741127255175","7.17508929112924","7.11722434868502","6.9929254965528","6.8381651576728","6.68741089525396","6.56627138565133","6.47531149053992","6.3918645294062","6.28360111278176","6.13795538753361","5.96134705633771","5.76563253048733","5.57613133579592","5.41786701317066","5.29983087500226","5.22064874969548","5.17837874929368","5.17948243517952","5.22777035082001","5.32755904272932","5.48987504176844","5.71987465412677",
"Andorra","AND","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","6.61062681610627","6.79306402439025","6.99288412545023","7.22068629045373","7.40237178034595","7.56882348799549","7.58526068208546","7.39829593183728","7.18098277664667","7.00917989552163","6.84571321250822","6.70854052167844","6.57782472677041","6.45418326693227","6.37193930132556","6.25625959805035","6.09188168659534","5.90283979282014","5.67818885842684","5.46630727762803","5.37365077725559","5.45011923688394","5.64379373761017","5.94093485394341","6.41414253158396","6.88834576794443","7.13341867283313","7.40409816535621","7.80023735691589","7.95767910405763","7.7843987974148","7.63465110108782","7.71235912964755","8.0321106362773","8.27864200584991","8.23832509105985","8.3106732640901","8.54033837409627","8.68258230212468","8.89380724259942","9.16527887340404","9.43856675239654","9.62227216704125","9.6237848931538","9.59716711684351","9.57423094070441","9.58181031165833","9.59826377139657","9.59953290287127","9.52691046600633","9.38652887099682","9.32034675671589","9.39279421903327","9.45071324904225","9.51056804053422","9.57416208960539","9.52811451270461","9.38406620586387","9.15242258461378","8.96323992342186","8.69725283095516","8.44528311318279","8.25264138455127","8.03428930695942","7.80259529408956",
"Arab World","ARB","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","4.50640220174595","4.50842650261315","4.51296478807136","4.52191619965943","4.53129410808534","4.53837600808573","4.54326441351019","4.5443099255453","4.54172560132261","4.53388217404521","4.51877485243376","4.49858701280379","4.47709909426779","4.44941182866112","4.41284635740426","4.36387806308041","4.3033414920018","4.23957421406064","4.17493966931696","4.10894532241896","4.04476955940973","3.98248413862021","3.92498147867225","3.88536588576121","3.87203662105797","3.89072801989658","3.94330038702558","4.02401010517639","4.12288486675023","4.22491039232834","4.30696459485935","4.39694538076014","4.49740336790547","4.59075179023571","4.6834289932014","4.77718752839237","4.86111980607942","4.92148067730423","4.96538487572235","5.00788729665985","5.0415236711588","5.06964732775843","5.11409003489565","5.17450082702764","5.23397997894428","5.29184964191307","5.35751090866681","5.4227064819218","5.47987363385305","5.53718067506604","5.58485727059454","5.64220991262221","5.70712349083131","5.76748027798944","5.82421781315301","5.89526658343963","5.96382209938574","6.01174220285942","6.04756383001128","6.10048428176993","6.17239965617165","6.21901545491513","6.32570088388571","6.46330158085464","6.56007329491623",
"United Arab Emirates","ARE","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","3.96561828482125","4.16393140540603","4.38831740367407","4.63254100174454","4.8930961159556","5.17851264957186","5.50000442834495","5.87493664200497","5.90304690380694","5.58853284253379","5.37414302888521","5.31217552064427","5.3728397579218","5.54075890832678","5.80857589522574","6.17614502674287","6.33925168695496","6.33079785051219","6.41215202163338","6.56949556880041","6.8039418144346","7.01558247691962","7.14516042676635","7.23274098859599","7.32795703113262","7.50298697237923","7.69928986864201","7.91410911075557","8.20205023956153","8.50420205267906","8.77910096311594","9.00521883624584","9.19846400756589","9.40284055607267","9.66399345550804","10.010940657253","10.1162128678922","9.97030805394037","9.83955726108996","9.68902257322008","9.52800919532406","9.3698191444032","9.22275037779915","9.16331472150112","9.25260246476159","9.42663741351048","9.60876767267912","9.73052986793861","9.79971900990956","9.8459826933991","9.86957288823974","9.9040074595542","9.94816066385633","10.0149539596574","10.0904036829044","10.155357150618","10.2239688583596","10.2306937710649","10.1682210190603","10.1528011141056","10.203873131689","10.2193485951647","10.1968944020858","10.3788869539739","10.3640435552896",
"Argentina","ARG","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","6.31479746251843","6.32111044308821","6.34528514795771","6.38146960012257","6.41394557464587","6.43542967375508","6.44956539573387","6.45650116495067","6.45208836779367","6.43151796127711","6.39350109152799","6.33928437103083","6.26884054626635","6.18551274207227","6.0973786579752","6.01319439035979","5.93182019440022","5.84932953436012","5.77204342476273","5.71031256013605","5.6692856066708","5.64977292464297","5.65397160618923","5.68007142202051","5.72132606372315","5.77306370244753","5.83338566040472","5.90105717803162","5.96963048185508","6.02514885576339","6.06751442594604","6.10114897747731","6.12118478518549","6.12952151321251","6.1335177154991","6.13357711485175","6.12760543809399","6.11473673439865","6.08961570475699","6.06526196843107","6.04893834005745","6.0290529943395","6.01175348835175","6.00570936423732","5.99181212105459","5.95289725436005","5.89902111588456","5.84573632519041","5.80292635827179","5.78166520058336","5.79495370676101","5.84749886703196","5.92936177554447","6.02821030382625","6.14275024323302","6.27371945252098","6.41753150711437","6.57036827466196","6.72013238804124","6.84876332126105","6.95390208459075","7.0299578056256","7.06649746623283","7.06780367088361","7.0532484374113",
