"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.0054","0.0062","0.0075","0.01","0.0095","0.0091","0.0105","0.0126","0.0147","0.0181","0.0156","0.0171","0.016","0.0182","0.0206","0.0218","0.0232","0.0258","0.0307","0.043","0.0202","0.0261","0.025","0.024","0.0259","0.0278","0.0173","0.0283","0.0286","0.0285","0.0175","0.0176","0.0178","0.021","0.0214","0.0236","0.0255","0.0257","0.0248","0.0283","0.0312","0.018","0.0253","0.0301","0.0339","0.0364","0.0452","0.0387","0.0424","0.0518","0.038","0.0414","0.0411","0.0431","",
"Africa Eastern and Southern","AFE","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","22.388","22.388","22.6198","23.0052","23.3082","24.0419","24.85","23.3704","24.6319","22.2335","21.0018","18.9843","17.1053","17.7769","19.9787","20.3034","18.4349","19.6411","21.0624","22.6356","22.4423","22.8874","22.4308","27.5893","27.554","27.4446","26.5268","26.3475","25.298","24.8399","23.0179","26.1138","29.077","31.1405","32.9655","34.3418","39.7818","47.249","50.0075","49.9819","33.6918","37.9933","48.5938","50.6454","50.8605","48.108","44.8953","59.5999","49.7406","42.0459","39.4145","42.1294","42.1665","42.4844","",
"Afghanistan","AFG","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.7953","0.7953","0.6069","0.7402","0.9726","0.83","0.6335","0.7191","0.5796","0.6694","0.5513","0.6364","0.7168","1.0689","1.2901","1.6545","1.5827","0.8396","0.8865","0.9993","0.379","0.3606","0.2395","0.2356","0.2302","0.0979","0.0849","0.0883","0.0823","0.0831","0.0344","0.0389","0.03","0.0412","0.0396","0.0533","0.0686","0.0982","0.2072","0.3649","0.467","0.696","0.6325","0.6164","0.5502","0.7799","0.6205","0.5301","0.6544","0.5481","0.5623","0.5791","0.6067","0.6231","",
"Africa Western and Central","AFW","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","3.0338","3.0338","3.1552","3.3843","3.6809","4.0474","4.4801","5.2697","5.9297","6.1691","6.5112","7.1044","7.8787","7.5621","7.5006","8.1799","8.0768","9.7114","9.2834","9.7724","7.346","7.2386","8.2079","7.4613","6.9131","7.3045","7.9952","8.4616","9.3023","9.8861","10.6104","11.5241","10.7246","9.6106","8.2954","10.9916","11.3029","10.3028","10.729","8.4606","11.1096","11.0842","11.392","12.3225","13.3889","12.1966","8.3094","8.5679","8.8743","9.891","11.0502","11.7568","12.0094","11.7404","",
"Angola","AGO","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.1202","0.1202","0.1386","0.1414","0.1313","0.1156","0.0925","0.0986","0.3295","0.5573","0.6984","0.6622","0.381","0.5025","0.5489","0.6029","0.6215","0.6268","0.7521","0.7265","0.6633","0.6913","0.6183","0.5148","0.6321","0.667","0.9106","0.9113","1.0136","1.26","1.0496","1.175","1.2012","1.2576","1.3031","0.9791","1.9352","2.3033","2.9295","3.4655","3.6571","4.0241","5.5267","6.6948","6.3525","5.8482","5.5191","5.7185","5.6152","6.2918","5.3547","6.1541","7.0522","7.3692","",
"Albania","ALB","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.9928","0.9928","1.0958","1.3006","1.4105","1.7523","1.909","2.0212","2.2104","2.6853","1.7342","1.8089","1.9042","2.01","2.0613","2.0876","2.2016","2.2047","2.3312","1.5342","2.0921","1.3209","0.5706","0.3934","0.3301","0.3252","0.4544","0.376","0.2917","0.7534","0.7679","0.8009","1.1738","1.0463","0.8853","0.7072","0.9375","0.7209","0.6522","0.5602","0.5707","0.5688","0.5","0.5694","0.6296","0.6375","0.6642","0.7568","0.7636","0.7747","0.7445","0.7956","0.7827","0.7936","",
"Andorra","AND","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","18.5015","18.5015","20.0462","20.6296","21.9901","23.6","26.0889","26.9007","29.2828","33.1529","35.6346","35.3333","36.2764","40.3246","45.3658","41.1221","45.5989","49.0464","52.5714","56.9027","44.9247","46.2349","46.6651","48.7364","51.1085","52.868","54.3376","57.4737","57.0547","57.3506","59.4074","62.8909","62.9991","63.0709","69.9857","80.3559","81.9313","86.0939","90.0546","92.8394","92.7774","96.8264","101.1346","98.4049","95.2835","95.8826","98.0769","101.2099","112.1352","114.5061","110.4913","112.1173","115.8416","115.1964","",
"United Arab Emirates","ARE","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1045","0.1104","0.1433","0.1522","0.1612","0.3194","0.3104","0.3044","0.2865","0.2686","0.2597","0.2865","0.2865","0.2477","0.2626","0.2626","0.2686","0.3223","0.4686","0.1164","0.1224","0.1283","0.1313","0.1313","0.1701","0.2985","0.4865","0.5462","0.6745","0.5492","0.8745","0.8805","0.97","1.0178","1.0071","0.8035","0.569","0.5347","0.6743","0.7757","0.7971","",
"Argentina","ARG","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","12.1122","12.1122","11.7857","14.4517","14.8644","15.437","16.9864","18.0828","17.3564","17.4275","17.3938","18.3787","17.8421","19.46","19.6118","18.7084","20.0477","21.2662","22.4899","21.1866","22.0306","22.1993","22.152","24.5579","25.3258","25.7109","26.0309","25.9618","25.8883","27.2802","28.1259","26.8962","26.016","28.68","31.7251","33.1861","33.8526","38.7975","37.0752","35.3228","39.8077","40.3235","41.1071","43.5733","41.3441","42.0454","42.221","40.3333","38.6032","37.5753","36.3342","39.7992","41.2474","39.9278","",
"Armenia","ARM","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","3.4063","3.4063","3.5939","3.7748","3.9478","4.4542","4.3618","4.5168","4.6791","4.8378","5.4299","5.6251","5.7279","5.8556","6.0896","6.2834","6.4058","6.5768","6.772","6.8587","6.9757","6.002","2.5835","0.9171","1.0599","1.3575","0.3594","0.4399","0.4564","0.3774","0.5281","0.5516","0.6484","0.8238","0.9944","1.15","1.1457","1.4867","1.6301","1.5197","1.6366","1.8354","2.0405","1.9852","1.8107","1.7497","1.7467","1.7859","1.6268","1.999","2.1889","2.3309","2.2155","2.3973","",
"American Samoa","ASM","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.0221","0.0221","0.0237","0.0285","0.0247","0.0217","0.0229","0.0255","0.0278","0.032","0.0259","0.0239","0.029","0.0183","0.0217","0.0219","0.0226","0.0293","0.0339","0.0352","0.0164","0.0189","0.0165","0.0154","0.0159","0.0163","0.0153","0.0159","0.0161","0.016","0.0088","0.0085","0.0089","0.01","0.0102","0.0105","0.0118","0.012","0.0126","0.0153","0.018","0.0132","0.0152","0.0189","0.0215","0.0229","0.0293","0.023","0.0268","0.0316","0.0232","0.0252","0.0251","0.0263","",
"Australia","AUS","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","10.6551","11.1626","11.3029","13.4063","11.1604","11.7977","11.6737","12.2071","11.9169","12.1192","11.3996","10.9159","11.3487","10.8252","11.1881","11.2917","11.3915","11.8934","11.6029","12.1408","12.8517","12.9777","13.4104","13.9245","13.8192","14.5585","15.01","15.3478","15.8457","15.9024","16.2304","16.5489","18.043","20.8751","21.2722","22.4609","21.6955","21.7119","21.9868","22.9309","23.3922","24.3985","25.883","26.9663","27.5267","27.7706","27.5658","28.926","29.5196","28.6724","28.5498","30.5099","29.754","30.0816","",
"Austria","AUT","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","14.8299","13.6661","13.9271","15.4498","13.692","13.6741","14.6957","14.326","14.9644","16.4936","18.1252","17.4143","17.506","16.3154","16.3664","17.1014","16.5689","16.6187","14.489","13.5248","13.1277","14.4803","13.7686","13.4351","12.4137","13.5618","14.9722","13.453","13.5025","14.0132","12.874","14.0561","13.3512","14.1079","13.6248","13.2724","12.9304","10.9645","11.3055","10.3889","10.5824","9.3261","8.9105","9.162","8.1563","8.5785","8.8128","8.9793","8.1878","8.4202","8.4271","9.4138","7.9462","7.4332","",
"Azerbaijan","AZE","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","3.5645","3.5645","3.7867","4.0037","4.2072","4.9434","4.7417","4.9486","5.1584","5.3715","6.2614","6.6437","6.8632","7.097","7.4708","7.7548","7.9682","8.25","8.5318","8.6805","9.1986","7.8045","6.2976","4.1362","6.2434","5.0336","5.1203","4.8331","5.2363","5.6787","5.9563","5.8838","5.5937","6.012","6.0338","6.6357","5.9699","6.1184","7.439","6.9819","7.1575","7.2793","6.3416","6.2218","6.7283","7.0794","7.7613","7.1904","7.4768","8.4241","9.2554","9.6411","10.2394","11.2844","",
"Burundi","BDI","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.0203","0.0203","0.0192","0.0205","0.0221","0.0228","0.0209","0.0225","0.0212","0.0244","0.0211","0.0199","0.0192","0.0236","0.0269","0.0274","0.0226","0.0371","0.05","0.0639","0.0323","0.0456","0.0356","0.0388","0.0417","0.0404","0.0417","0.0418","0.0385","0.041","0.0403","0.0314","0.03","0.0241","0.0276","0.0204","0.0252","0.0381","0.0196","0.0188","0.0263","0.0395","0.0353","0.0364","0.0349","0.0326","0.0371","0.0419","0.0532","0.057","0.0598","0.0641","0.0594","0.0594","",
"Belgium","BEL","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","35.1798","32.4824","35.7949","36.8327","33.1354","34.5479","32.4538","32.9075","36.1419","38.3153","33.7355","30.2953","27.7404","25.9531","26.1124","29.4263","30.8075","30.1708","27.6884","25.8622","26.5219","29.549","29.9691","29.4035","29.3543","30.9051","35.7203","32.8288","32.2136","30.4657","29.1483","30.125","28.5409","31.07","31.0638","30.6102","28.2933","24.9297","28.9749","27.0074","29.3894","24.1828","25.3906","27.6996","22.0595","24.8958","24.7559","24.5956","24.3233","23.841","23.4578","24.7858","20.8654","19.7144","",
"Benin","BEN","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.0409","0.0409","0.0598","0.0598","0.0787","0.0787","0.0693","0.0693","0.085","0.085","0.0913","0.0724","0.0661","0.0409","0.0409","0.0567","0.0283","0.0346","0.0378","0.0346","0.0346","0.0252","0.0378","0.0315","0.0378","0.0409","0.2266","0.2549","0.2738","0.2864","0.2988","0.5314","0.6222","0.7069","0.8266","0.9214","1.0414","1.0727","1.1072","1.1385","1.1795","0.8835","0.5902","0.2755","0.2032","0.0987","0.1397","0.1402","0.1772","0.4054","0.4101","0.1859","0.1936","0.1876","",
"Burkina Faso","BFA","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.087","0.087","0.0823","0.0878","0.0946","0.0979","0.0897","0.0964","0.091","0.1044","0.0905","0.0747","0.0823","0.0886","0.0807","0.0795","0.0767","0.1207","0.1101","0.1084","0.0525","0.074","0.0631","0.0651","0.0738","0.0743","0.077","0.1261","0.1032","0.1098","0.12","0.1385","0.1512","0.1667","0.1404","0.1342","0.1311","0.1709","0.1648","0.1498","0.1503","0.2065","0.2373","0.2683","0.2598","0.3071","0.2957","0.3275","0.343","0.3524","0.3695","0.396","0.4123","0.3995","",
"Bangladesh","BGD","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.8702","0.8702","0.8702","0.736","0.9634","1.2197","1.3954","1.4015","1.4775","1.6449","1.749","1.9405","1.9348","1.7969","1.7745","2.051","2.3041","2.5036","2.4685","3.0475","2.9962","2.8091","2.9427","3.0734","3.2671","3.7737","4.0511","4.6184","4.9176","4.9241","4.9014","5.7458","6.2311","6.7765","7.4336","7.4282","7.6159","7.8408","8.0674","8.1279","9.0858","10.1754","10.1519","9.7721","10.3774","10.8206","12.126","12.5797","13.3804","13.196","11.1893","11.6451","12.0042","11.1031","",
"Bulgaria","BGR","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","25.6685","25.6685","26.2086","28.1403","27.164","29.735","29.5972","29.1619","27.0045","29.489","30.8449","27.7072","27.3083","27.5376","26.4893","23.8222","24.4704","24.4231","14.6446","14.5427","7.7363","5.6122","5.4181","5.9848","5.4646","4.1356","4.6258","3.4369","3.5303","2.8976","2.2254","2.0556","2.4259","2.5534","2.13","2.1333","2.3642","2.0706","1.8272","1.5933","1.7473","1.9825","1.9264","1.6613","1.416","1.5662","1.597","1.6386","1.4756","1.4372","1.4116","1.7036","1.7673","1.4517","",
"Bahrain","BHR","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.0463","0.0463","0.0403","0.0371","0.0431","0.0461","0.0491","0.0521","0.055","0.064","0.0673","0.0703","0.0701","0.0731","0.0822","0.0852","0.0915","0.1039","0.1099","0.116","0.1257","0.1379","0.1504","0.1472","0.1565","0.1595","0.1752","0.2475","0.3136","0.1684","0.1807","0.19","0.1961","0.2084","0.2236","0.2359","0.1917","0.2006","0.2253","0.2311","0.2248","0.2278","0.2368","0.2581","0.2545","0.279","0.2628","0.2227","0.2598","0.2522","0.2486","0.2441","0.2419","0.2419","",
"Bahamas, The","BHS","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.2211","0.2209","0.2375","0.2847","0.2466","0.2168","0.2291","0.2547","0.2782","0.3202","0.2593","0.2778","0.2132","0.1743","0.168","0.1493","0.1526","0.1769","0.1937","0.2297","0.109","0.1128","0.0842","0.0827","0.0873","0.0986","0.1044","0.1033","0.1175","0.1038","0.0647","0.064","0.0649","0.0496","0.0535","0.0526","0.0658","0.0735","0.0742","0.0649","0.0828","0.0531","0.0685","0.0794","0.0873","0.088","0.1161","0.1139","0.1404","0.1646","0.1207","0.1315","0.1306","0.137","",
"Bosnia and Herzegovina","BIH","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","1.5446","1.5446","1.5858","1.4952","1.9606","2.0268","2.024","2.1366","2.2067","1.9837","1.6456","1.1938","2.062","2.4945","2.1906","2.1581","1.8779","2.2783","1.8134","1.8128","5.1445","5.1098","4.3022","3.7951","0.7594","0.8271","0.6592","0.9694","0.8558","0.8171","1.2634","1.332","1.1786","1.8247","1.7714","1.9749","1.6024","1.7539","2.1077","1.3708","1.6728","1.7311","1.5902","1.3425","1.3229","1.3886","1.5203","1.1779","1.0376","0.8695","0.9017","0.9448","0.9605","0.9514","",
"Belarus","BLR","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","14.3192","14.3192","14.9816","15.6061","16.2059","17.2308","17.5202","17.9181","18.3666","18.757","19.6152","19.4495","19.282","19.2699","19.5091","19.7552","19.7702","19.8601","20.1416","20.1521","17.7584","17.0722","15.3675","14.1059","10.8239","10.154","10.3405","8.7691","7.8216","7.6213","8.127","7.1779","6.986","6.9168","6.8455","7.1371","7.3497","7.3126","7.5288","6.9118","7.2903","7.3081","7.6233","7.3742","6.9732","6.5617","6.9048","7.1955","7.3474","6.8216","6.6625","7.4728","7.2781","6.9309","",
"Belize","BLZ","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.0126","0.0126","0.0136","0.0163","0.0141","0.0124","0.0131","0.0146","0.0159","0.0183","0.0148","0.0144","0.0119","0.0128","0.0148","0.0149","0.0189","0.0161","0.0135","0.0207","0.0125","0.0165","0.0119","0.0111","0.0102","0.0113","0.0089","0.0151","0.0152","0.0156","0.0089","0.009","0.0083","0.009","0.0083","0.0091","0.0103","0.0093","0.0087","0.0111","0.0148","0.0092","0.0108","0.0147","0.0155","0.0193","0.0241","0.0234","0.0224","0.0248","0.0182","0.0198","0.0209","0.0223","",
"Bermuda","BMU","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.03","0.03","0.0322","0.0386","0.0335","0.0294","0.0311","0.0346","0.0378","0.0435","0.0352","0.0316","0.0299","0.0339","0.0356","0.0348","0.0333","0.0498","0.0627","0.079","0.0254","0.0262","0.0179","0.0191","0.018","0.0177","0.0171","0.0173","0.0175","0.0174","0.0098","0.0096","0.0099","0.0105","0.0106","0.0114","0.0139","0.0155","0.0152","0.014","0.02","0.0095","0.0119","0.0144","0.0209","0.0181","0.029","0.0236","0.0284","0.0333","0.0265","0.0274","0.0272","0.0285","",
"Bolivia","BOL","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.3734","0.3734","0.4046","0.4542","0.5032","0.5488","0.582","0.6176","0.644","0.6318","0.6756","0.7256","0.7274","0.7991","0.7918","0.7904","0.6927","0.7187","0.6667","0.6794","0.6377","0.6649","0.7133","0.6661","0.722","0.7791","0.8369","0.9607","0.9783","0.9827","1.5992","1.6131","1.6379","1.6919","1.8092","1.8433","1.946","1.9771","1.9287","1.9369","1.9712","2.0425","2.0817","2.134","2.2038","2.2256","2.2497","2.2751","2.4496","2.5766","2.3778","2.7512","2.8358","2.918","",
"Brazil","BRA","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","7.889","7.889","9.0646","10.516","10.9598","11.5498","12.7205","13.3749","14.1637","16.0584","17.5908","17.5582","19.1587","19.9691","19.4822","21.7748","22.4213","24.4107","26.4013","27.2407","27.5394","27.2559","28.5343","29.7427","31.4811","33.3046","34.0219","36.1154","34.7358","36.1846","35.6321","37.2481","36.6966","34.5679","35.0438","34.3059","34.4125","36.0279","37.9126","37.0564","38.0686","36.9504","37.569","37.9062","38.6752","38.5519","38.3662","39.6913","39.2019","39.4823","40.2789","40.11","40.6382","41.3407","",
"Barbados","BRB","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.0618","0.0617","0.0659","0.0711","0.062","0.0542","0.0634","0.0682","0.0786","0.0928","0.0796","0.0784","0.0727","0.0838","0.0994","0.1099","0.1099","0.1","0.1097","0.129","0.0576","0.0637","0.0579","0.0551","0.0517","0.0514","0.048","0.0537","0.0554","0.0567","0.0278","0.0268","0.0265","0.0284","0.0281","0.029","0.0314","0.0294","0.0354","0.0386","0.0455","0.0349","0.0366","0.0457","0.0445","0.0491","0.0628","0.0491","0.0591","0.0692","0.0508","0.0553","0.0549","0.0576","",
"Brunei Darussalam","BRN","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.0181","0.0181","0.0181","0.0181","0.0181","0.0181","0.0181","0.0181","0.0181","0.0181","0.0277","0.0275","0.0368","0.0368","0.0366","0.0428","0.0364","0.0364","0.0426","0.0426","0.0458","0.0456","0.0518","0.058","0.0641","0.0573","0.0602","0.0696","0.0603","0.0603","0.0601","0.0599","0.0599","0.0599","0.0481","0.0511","0.0756","0.1086","0.2371","0.2172","0.0997","0.1028","0.0994","0.1489","0.1755","0.1234","0.1219","0.1691","0.209","0.1655","0.1414","0.0895","0.0894","0.0911","",
"Bhutan","BTN","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.001","0.001","0.0009","0.0011","0.0016","0.001","0.0009","0.0006","0.0008","0.0008","0.001","0.0076","0.0075","0.0076","0.0057","0.0059","0.0048","0.0112","0.0115","0.0129","0.0133","0.0134","0.0094","0.01","0.013","0.0158","0.0213","0.0367","0.0315","0.0191","0.0096","0.0118","0.0112","0.0118","0.0129","0.0123","0.013","0.0176","0.0158","0.0179","0.0244","0.0327","0.0382","0.0548","0.0583","0.0789","0.0885","0.089","0.0947","0.0989","0.1019","0.1047","0.1098","0.1128","",
"Botswana","BWA","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.0251","0.0251","0.0251","0.0315","0.0315","0.0315","0.0315","0.0315","0.0347","0.0379","0.0411","0.0465","0.0465","0.0495","0.0559","0.0635","0.0761","0.0758","0.0852","0.1271","0.1355","0.1355","0.1535","0.174","0.1749","0.1493","0.1604","0.1502","0.3793","0.2257","0.2972","0.3818","0.3991","0.3052","0.2488","0.1843","0.1907","0.3071","0.2039","0.2498","0.1931","0.1814","0.2069","0.2068","0.2284","0.1509","0.132","0.1284","0.1375","0.128","0.1143","0.1303","0.1413","0.1453","",
"Central African Republic","CAF","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","0.029","0.029","0.0274","0.0293","0.0315","0.0326","0.0299","0.0321","0.0303","0.0348","0.0302","0.0323","0.0384","0.0443","0.0377","0.0384","0.038","0.0536","0.0458","0.0507","0.0262","0.0342","0.0275","0.0295","0.0321","0.0323","0.0337","0.0338","0.03","0.0319","0.0361","0.0377","0.0393","0.0366","0.0339","0.0299","0.0307","0.0278","0.0186","0.0173","0.0166","0.0217","0.0216","0.0132","0.0152","0.02","0.022","0.022","0.0217","0.0224","0.0235","0.0251","0.0288","0.0301","",
"Canada","CAN","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","98.3906","98.6894","105.9745","94.6748","99.6726","94.254","98.5337","96.9228","95.4652","92.7086","89.6986","83.6881","89.6814","84.1377","82.0124","82.4754","79.4474","73.3234","77.8735","83.427","70.1577","69.7104","72.2106","75.6967","76.9955","76.5703","82.6157","80.3188","72.814","76.2804","81.861","77.5109","83.2822","87.4817","84.4916","87.1636","82.6844","88.3165","87.9434","83.6057","81.7777","88.5741","82.9523","86.5367","91.3731","88.0955","85.8389","90.6755","96.6249","94.3533","89.5787","87.9665","91.9027","90.4157","",
"Central Europe and the Baltics","CEB","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","183.6005","181.5128","185.0994","191.9966","189.1972","200.3604","206.3294","207.9253","218.4877","233.5076","237.9789","227.7137","234.2207","224.3768","222.3488","240.2204","241.2241","261.1997","248.095","209.7076","160.9864","162.7642","139.9397","146.0884","133.9208","130.748","130.6091","125.2221","112.8629","112.2865","103.5602","106.1657","108.1139","112.4435","113.1841","115.142","118.166","105.8716","108.3069","108.3582","118.0066","108.2696","107.5841","105.0578","95.9996","97.1633","101.867","103.7834","100.3971","93.8907","95.2169","100.8066","92.895","86.5852","",
"Switzerland","CHE","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","17.8807","18.7583","18.823","21.1069","18.2876","17.7777","19.7747","19.358","20.2096","19.146","19.1459","16.1585","15.3289","16.7054","16.9914","19.8286","19.8089","19.1104","19.1093","18.6059","17.2262","18.5196","18.5454","18.0043","16.722","17.7618","18.5968","17.2413","18.0586","18.1788","16.4236","17.6782","16.6599","17.5294","17.3974","17.7239","16.7339","14.8919","15.8023","15.528","16.6475","13.4016","14.6587","15.5184","12.161","13.0437","13.5561","12.9908","11.9197","11.9318","11.0346","12.3871","9.9631","9.764","",
"Channel Islands","CHI","Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","EN.GHG.CO2.BU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
