"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.0002","0.0002","0.0003","0.0003","0.0003","0.0004","0.0005","0.0005","0.0006","0.0006","0.0008","0.001","0.0008","0.0011","0.0012","0.0014","0.0024","0.0024","0.0023","0.004","0.0094","0.0097","0.0087","0.008","0.0087","0.0101","0.0065","0.0096","0.0097","0.0104","0.0067","0.0078","0.0185","0.018","0.017","0.0154","0.0146","0.014","0.011","0.0136","0.0148","0.0101","0.0181","0.02","0.0222","0.0242","0.0217","0.0333","0.0282","0.0293","0.0266","0.0342","0.034","0.0356","",
"Africa Eastern and Southern","AFE","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","54.7683","54.7683","56.2425","64.4083","63.8102","65.7002","73.8111","75.2967","73.7335","77.1416","81.5506","84.434","74.8487","65.2059","64.9935","67.3044","66.2889","68.4967","70.3655","66.7488","68.4542","62.596","56.0918","48.1046","47.8178","48.8506","53.0243","56.8732","59.4685","53.494","53.3074","49.4759","52.908","54.7836","61.9016","66.7457","64.9499","59.5026","59.3816","76.6492","69.4157","63.9603","64.8717","69.428","73.8825","71.2182","72.2234","68.4648","77.7461","75.661","69.492","74.0163","73.6311","74.8993","",
"Afghanistan","AFG","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.1017","0.1017","0.0948","0.0962","0.1057","0.1117","0.116","0.1496","0.159","0.18","0.1831","0.2669","0.2276","0.2423","0.2614","0.4246","0.4359","0.4619","0.3877","0.3458","0.7452","0.7044","0.4198","0.3907","0.4328","0.3597","0.329","0.305","0.2904","0.2858","0.2451","0.1851","0.2799","0.2148","0.1676","0.2442","0.2679","0.6351","1.0198","1.4617","1.7988","3.5125","2.7076","2.6533","2.7442","2.1674","2.1014","2.564","2.1925","2.1853","2.1125","2.9588","3.0769","3.3125","",
"Africa Western and Central","AFW","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","4.2029","4.2029","4.5856","4.9787","5.3569","5.7594","6.3099","5.9958","6.9582","6.8907","6.9897","7.6953","7.8882","7.9049","6.5962","7.1926","6.089","6.6891","7.2851","6.9442","5.6566","5.7089","6.5167","6.2061","5.897","5.7305","6.5229","6.1952","6.2092","6.9397","7.5411","7.279","7.454","12.1667","13.0192","12.2318","12.3101","13.7302","15.2936","12.6426","13.3091","19.4749","20.1194","22.1086","23.7112","23.9155","23.3052","21.7831","23.3696","24.3742","23.9809","26.1588","25.6454","24.6807","",
"Angola","AGO","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.259","0.259","0.3176","0.3583","0.3269","0.3085","0.3076","0.3073","0.4535","0.4131","0.4253","0.4505","0.4256","0.4352","0.7044","0.8509","0.7561","0.8299","0.7928","0.8465","1.7652","1.6286","1.7129","2.1909","1.6278","1.7961","1.8853","1.7373","1.2987","1.4809","1.573","1.6165","1.7761","1.8317","2.1025","1.7157","1.9563","2.267","2.0929","2.1847","2.3378","2.4204","2.2159","1.6228","1.4598","2.2042","2.4791","1.3603","1.9317","1.5085","1.253","1.5726","1.5984","1.5061","",
"Albania","ALB","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","1.3726","1.3726","1.7573","1.0119","1.0847","0.965","0.993","1.0634","1.3251","1.7495","2.6745","2.1749","2.1706","2.5436","2.614","2.5207","2.483","2.7297","2.4559","3.1048","2.1435","1.4156","0.7582","0.5427","0.4638","0.4922","0.4593","0.2408","0.4015","0.4854","0.4722","0.5362","0.4292","0.5035","0.551","0.4509","0.6797","0.6392","0.5007","0.7758","1.0394","1.1115","0.6444","0.5834","0.9151","0.6761","0.6065","1.0967","1.2787","0.9101","0.9816","1.2002","0.8766","0.8492","",
"Andorra","AND","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","27.1076","27.1076","29.5437","33.0323","37.7301","41.1406","45.2462","51.3458","58.3238","80.9519","93.5173","103.0079","109.4186","105.6872","84.2758","89.7721","92.646","99.7126","103.5353","113.5555","120.6698","126.3132","134.2228","135.4577","139.9871","148.1725","157.2246","154.7959","162.6368","169.3418","167.3526","183.8715","187.439","185.2497","186.8837","204.1954","215.6664","240.0743","255.3476","259.1155","287.1595","288.7279","289.9756","297.429","305.8623","314.7391","311.2824","299.122","286.1781","296.975","282.4139","289.8397","297.432","304.3867","",
"United Arab Emirates","ARE","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","1.9076","1.9076","1.6988","1.9314","1.6651","2.2588","2.7605","6.0016","6.546","7.1241","7.0151","9.1506","9.1283","7.1121","12.9869","16.2715","20.0887","22.9201","22.7092","28.3296","26.6398","33.346","29.5789","29.584","33.9518","36.0618","37.7153","39.9064","39.3589","38.6501","33.6754","41.6038","37.8159","35.9369","33.8928","34.9426","34.0929","42.4555","51.8655","59.9418","63.1461","66.2927","72.029","75.9215","72.3851","81.0458","83.5141","70.143","53.431","68.1719","73.2676","70.6078","71.2969","72.2401","",
"Argentina","ARG","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","17.1945","17.1945","15.4046","16.5522","17.7028","16.3693","17.8529","15.7188","17.6191","17.5214","15.9814","14.6163","15.1116","15.3954","17.0442","14.8838","14.9269","17.7553","15.8391","14.7142","14.1054","14.6932","15.7091","15.015","17.5071","17.219","17.7419","20.8077","20.2476","18.2888","17.8694","17.6362","17.0822","19.0046","20.0149","20.4278","22.1229","21.0848","20.6705","17.5483","19.0421","20.7031","19.1857","21.1205","21.5135","21.7092","19.4805","18.9955","20.716","20.51","20.7666","21.3977","21.5828","20.6645","",
