"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","EN.GHG.CO2.IP.MT.CE.AR5","","","","","","","","","","","0.0005","0.0005","0.0005","0.0005","0.0006","0.0006","0.0006","0.0006","0.0006","0.0006","0.0007","0.0007","0.0007","0.0008","0.0008","0.0009","0.0008","0.0009","0.0008","0.0009","0.0009","0.0011","0.0011","0.0012","0.0013","0.0012","0.0011","0.0013","0.0014","0.0014","0.0012","0.0012","0.0012","0.0012","0.0013","0.0015","0.0016","0.0016","0.0016","0.0018","0.0018","0.0013","0.0019","0.0021","0.0021","0.0022","0.0023","0.0022","0.0021","0.0024","0.0013","0.0014","0.0014","0.0014","",
"Africa Eastern and Southern","AFE","Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","EN.GHG.CO2.IP.MT.CE.AR5","","","","","","","","","","","21.9549","21.064","21.8543","23.2741","22.8307","19.8544","19.4122","18.6254","17.9028","19.3269","18.4245","18.6343","15.1965","12.9155","14.7862","14.349","13.8338","13.7745","14.216","14.438","13.9828","13.428","12.9557","13.536","14.9498","15.8098","17.5763","18.3989","18.2867","18.1536","18.3107","18.253","19.4162","20.866","23.4609","23.439","24.5133","25.8932","24.9237","22.3835","25.8318","27.9094","28.7115","30.6394","32.4581","33.9251","36.941","37.2282","38.3289","37.4979","35.8082","39.4524","38.1564","38.1385","",
"Afghanistan","AFG","Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","EN.GHG.CO2.IP.MT.CE.AR5","","","","","","","","","","","0.1697","0.1612","0.1633","0.1855","0.2018","0.1996","0.2592","0.2558","0.2372","0.2199","0.2194","0.2165","0.2225","0.2393","0.2267","0.2409","0.2086","0.2064","0.1876","0.2019","0.1471","0.16","0.1692","0.1484","0.131","0.1233","0.1168","0.1188","0.1204","0.1222","0.1257","0.1176","0.1247","0.1318","0.1339","0.1328","0.1296","0.133","0.1304","0.1404","0.1574","0.1639","0.2455","0.3182","0.2691","0.2199","0.2395","0.2338","0.246","0.2473","0.1011","0.0885","0.088","0.0879","",
"Africa Western and Central","AFW","Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","EN.GHG.CO2.IP.MT.CE.AR5","","","","","","","","","","","1.674","2.1384","2.3484","2.3706","2.3865","2.5845","2.7434","2.7775","2.8012","3.0864","3.2004","3.7471","3.7444","3.2603","3.127","3.7073","3.9164","3.9983","4.7906","4.9414","4.7087","5.0294","5.1408","5.1211","3.9903","4.0805","4.7882","4.9726","5.2308","5.4031","5.2913","6.9608","6.9488","7.1491","7.2552","6.8606","7.771","8.1948","10.4525","9.8907","11.1247","12.5156","15.5664","16.9576","16.946","18.761","22.7738","22.5659","25.3965","26.5511","27.7839","31.0772","32.08","31.9494","",
"Angola","AGO","Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","EN.GHG.CO2.IP.MT.CE.AR5","","","","","","","","","","","0.2351","0.2753","0.3197","0.3882","0.4259","0.4514","0.1593","0.1589","0.2056","0.2049","0.136","0.1315","0.1005","0.0775","0.0782","0.1136","0.1794","0.1296","0.1681","0.1532","0.156","0.16","0.1844","0.1339","0.1557","0.1555","0.1439","0.1574","0.1785","0.179","0.1793","0.2635","0.2842","0.3283","0.3525","0.59","0.5861","0.5764","0.7143","0.6842","0.5961","0.5819","1.1255","2.0808","2.4143","2.6047","2.2953","1.7356","1.7658","1.6606","1.7333","1.8851","1.8855","1.8715","",
"Albania","ALB","Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","EN.GHG.CO2.IP.MT.CE.AR5","","","","","","","","","","","0.4969","0.4817","0.4964","0.6125","0.6325","0.5701","0.6006","0.6142","0.6886","0.7469","0.7303","0.7","0.6555","0.5993","0.6524","0.562","0.6155","0.6142","0.6235","0.6702","0.6042","0.3916","0.1601","0.1768","0.1943","0.19","0.1748","0.1408","0.1132","0.1368","0.1174","0.1808","0.1908","0.3355","0.3297","0.2964","0.2841","0.4095","0.4363","0.4621","0.5838","0.7658","0.974","1.0658","0.8844","0.924","0.7401","0.85","0.8447","0.8069","1.098","1.0897","1.0903","1.0905","",
"Andorra","AND","Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","EN.GHG.CO2.IP.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","EN.GHG.CO2.IP.MT.CE.AR5","","","","","","","","","","","9.7629","10.5328","11.7178","11.4919","12.1725","12.8429","14.6173","15.44","18.0878","22.0431","24.0374","25.8029","27.3855","30.4197","39.5204","43.3387","43.5323","47.3433","48.1114","51.927","53.4608","49.0301","54.0377","60.4698","64.4222","68.6909","65.8024","67.0204","73.8973","79.1074","81.5028","94.655","100.8682","100.1438","108.2627","121.2224","128.7431","137.5489","141.6649","155.0866","163.8529","172.8871","183.2226","187.0904","194.9331","197.2326","205.3334","208.1099","213.3233","213.0979","214.3589","222.3872","222.8466","227.1936","",
"United Arab Emirates","ARE","Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","EN.GHG.CO2.IP.MT.CE.AR5","","","","","","","","","","","0.6111","0.6467","0.7096","0.7382","0.7448","0.7427","0.7808","0.8219","0.8741","0.8965","0.9003","1.146","1.0732","1.0779","2.6136","2.723","1.9928","2.2195","2.1146","2.2504","2.4424","2.6958","2.8117","2.9131","3.3491","4.1529","4.2821","4.4717","5.343","5.7714","5.604","5.9157","6.5449","7.4179","7.7332","8.9983","9.698","10.5882","15.5222","14.6678","15.0988","15.7132","14.9058","15.7954","18.8639","18.9105","18.3166","18.8219","18.9731","18.4035","17.8783","18.3926","19.0597","19.2581","",
"Argentina","ARG","Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","EN.GHG.CO2.IP.MT.CE.AR5","","","","","","","","","","","3.9509","4.2625","4.2913","4.1223","4.0265","4.1339","4.2909","4.42","4.6249","4.8955","4.9756","4.7148","4.2864","4.145","3.8837","3.6629","4.736","4.9521","4.3008","3.8211","3.2722","3.5064","3.697","4.0428","4.4116","4.2894","4.404","5.8074","6.4771","6.3617","5.2423","6.026","5.4506","6.658","7.2976","7.9905","8.8048","9.4625","10.2266","9.4893","10.3117","10.6007","10.3819","10.6372","10.1871","10.4709","10.2436","11.2164","10.9478","10.9782","10.0636","10.5744","11.0803","11.0424","",
