"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CH4.MT.CE.AR5","","","","","","","","","","","0.0115","0.0128","0.0129","0.013","0.0131","0.0132","0.0132","0.0132","0.0132","0.0132","0.0132","0.0133","0.0135","0.0136","0.0138","0.0138","0.0138","0.0136","0.0134","0.0135","0.0156","0.0163","0.0168","0.0175","0.0183","0.0189","0.0189","0.0196","0.0198","0.0199","0.0749","0.0749","0.0749","0.0793","0.0865","0.0871","0.0571","0.0579","0.0539","0.0499","0.0387","0.0454","0.0244","0.0214","0.022","0.0219","0.0222","0.0223","0.0225","0.0227","0.0226","0.023","0.0231","0.0233","",
"Africa Eastern and Southern","AFE","Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CH4.MT.CE.AR5","","","","","","","","","","","227.4253","229.7344","233.1402","239.119","244.1128","248.0437","256.4043","262.094","267.9253","276.7984","278.9547","284.2996","293.0519","298.8467","305.1115","311.5891","316.1702","317.6747","325.9589","333.5081","341.4776","339.617","342.8284","347.1777","366.4724","380.5584","393.4066","406.7413","419.4605","429.4897","427.9806","432.8676","441.8826","449.9194","463.2425","476.7972","472.6879","497.3715","517.7345","521.1697","541.5906","544.6341","565.0733","574.9659","585.5624","594.1098","602.381","607.2952","616.2341","632.7518","648.314","640.8116","654.2545","662.9311","",
"Afghanistan","AFG","Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CH4.MT.CE.AR5","","","","","","","","","","","11.2162","11.1781","9.6935","10.0875","10.6766","11.3067","11.4693","11.256","11.1888","10.9553","10.8713","10.7917","10.6866","10.0674","8.8899","8.0775","6.8659","7.2939","7.6542","7.4581","7.6437","7.7292","7.8229","7.9324","8.2177","8.5644","9.6382","10.4772","11.0862","11.8688","10.4209","8.9887","11.1519","11.5243","11.576","11.3195","11.3897","11.8523","12.998","13.4802","15.2783","15.6485","15.1618","15.0762","15.5429","14.9348","14.8077","14.773","15.2334","15.2741","15.3417","15.507","16.1232","16.4523","",
"Africa Western and Central","AFW","Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CH4.MT.CE.AR5","","","","","","","","","","","213.4449","215.559","237.509","256.1493","273.1708","242.4941","267.0129","272.1939","261.2807","297.2849","285.1997","244.926","240.04","237.4528","249.917","264.484","263.7651","256.9523","270.1972","299.2737","311.9872","323.6623","340.9035","348.0889","381.1162","411.74","466.474","447.1614","433.8835","426.7405","458.345","462.7292","414.707","449.7999","450.6499","449.0039","436.1677","420.728","422.4916","421.0655","438.5678","456.5958","469.6143","464.8353","476.4999","486.2532","482.3737","493.6157","504.4886","521.5867","503.834","504.0427","503.1609","517.4561","",
"Angola","AGO","Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CH4.MT.CE.AR5","","","","","","","","","","","8.56","8.7525","9.4432","9.9964","10.1739","9.8909","9.6626","9.5456","9.4327","9.9393","10.2144","9.8603","9.7912","11.0778","11.8883","12.5073","13.7711","15.4683","17.5031","17.5418","18.0555","17.3246","15.6999","19.628","31.2519","36.9068","44.7014","46.7472","50.8252","50.704","47.2935","45.1531","43.8884","42.56","47.6206","47.5489","39.287","36.8495","38.1526","37.4982","42.742","40.6918","41.5274","42.1408","41.718","43.8144","42.6715","40.6169","38.3713","37.2391","35.8774","33.8775","34.4327","33.9879","",
"Albania","ALB","Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CH4.MT.CE.AR5","","","","","","","","","","","2.6949","2.6612","2.917","2.9585","2.8332","2.9158","3.0662","3.1631","3.4183","3.431","3.4905","3.4838","3.9294","4.2269","3.8733","3.8194","3.9378","4.089","4.0273","4.1563","3.7087","3.804","3.0031","3.1291","3.5428","3.4974","3.3061","3.083","2.9543","2.9761","3.0036","2.9753","2.9621","2.9779","2.9182","2.8749","2.8685","2.7641","2.6528","2.5651","2.5986","2.5718","2.6436","2.7185","2.7898","2.832","2.7821","2.7774","2.8023","2.5862","2.3959","2.3462","2.2125","2.1006","",
"Andorra","AND","Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CH4.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CH4.MT.CE.AR5","","","","","","","","","","","428.0538","431.7188","426.9045","460.2802","435.0517","437.3771","482.6832","492.6339","506.2031","564.4429","514.588","415.4107","391.7026","386.537","403.751","410.3561","440.6648","463.2182","511.2872","539.0188","522.5416","460.3047","476.4408","501.8189","521.6836","533.9819","551.7032","570.0899","561.835","575.2402","610.8306","590.1019","572.0716","612.3673","618.6012","628.2669","640.7893","629.7906","643.1122","636.1539","651.7271","652.2626","690.885","687.0563","688.6535","699.885","740.0886","745.9929","758.6133","763.2276","719.9013","741.3152","777.6687","770.0042","",
"United Arab Emirates","ARE","Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CH4.MT.CE.AR5","","","","","","","","","","","10.0004","10.0507","11.3803","14.4407","15.7903","15.9877","18.29","18.9878","17.6877","17.8679","16.8841","15.1102","13.1006","12.2723","12.205","12.4859","14.0378","15.7499","16.2485","19.2098","21.3476","21.6906","23.3838","26.5895","24.7088","25.0251","26.3747","24.4587","23.074","22.6836","24.9006","23.7615","22.2381","24.1032","23.5951","24.5653","26.156","26.271","26.4923","26.1338","27.5425","29.7583","31.172","32.6131","32.2558","34.7108","35.7377","34.4557","34.578","35.523","34.0153","34.1917","37.6756","37.2673","",
"Argentina","ARG","Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CH4.MT.CE.AR5","","","","","","","","","","","108.7363","111.3607","115.8022","119.6388","119.7289","121.8858","124.7846","130.4305","125.1015","124.5665","122.707","120.2267","117.9501","120.3244","121.5813","120.3753","118.8655","117.6075","121.5936","123.8947","125.7234","124.3214","125.9836","124.4317","125.6865","126.9023","123.2251","123.4665","120.0571","123.6706","122.8154","123.1194","128.2225","135.7385","137.9788","136.6071","139.2994","136.8028","133.7103","127.2743","118.3262","116.5444","119.842","122.1668","123.2438","122.9546","124.3958","128.3552","128.0358","129.2013","127.2823","125.6269","127.7957","126.6592","",
