"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Africa Eastern and Southern","AFE","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","0.2228","0.2195","0.2274","0.2349","0.2403","0.2447","0.2358","0.26","0.2698","0.2767","0.2842","0.2899","0.2967","0.3069","0.3157","0.3243","0.3305","0.342","0.3503","0.36","0.3761","0.3834","0.3955","0.3967","0.42","0.4309","0.4498","0.463","0.4568","0.4712","0.4714","0.6769","0.6801","0.6665","0.6796","0.6497","0.6489","0.6814","0.6947","0.6327","0.7833","0.8217","0.9309","0.9367","0.9571","0.9832","0.9938","1.0209","1.0225","1.0591","1.066","1.0966","1.0976","1.093","",
"Afghanistan","AFG","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","0.0018","0.0019","0.0022","0.0016","0.0022","0.0019","0.0019","0.0023","0.0018","0.0018","0.0019","0.0019","0.0018","0.0018","0.0019","0.0019","0.0019","0.0015","0.0013","0.0007","0.0014","0.0015","0.0016","0.0017","0.0018","0.002","0.0022","0.0024","0.0025","0.0027","0.0028","0.0029","0.0029","0.003","0.0031","0.0033","0.0034","0.0035","0.0036","0.0037","0.0038","0.0039","0.004","0.0042","0.0044","0.0046","0.0048","0.0049","0.005","0.0051","0.0053","0.0053","0.0054","0.0054","",
"Africa Western and Central","AFW","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","0.1504","0.2019","0.2444","0.3155","0.3941","0.302","0.3331","0.2716","0.2678","0.3762","0.3276","0.2566","0.2322","0.2363","0.2545","0.2628","0.2607","0.2417","0.261","0.2777","0.3088","0.3152","0.3212","0.3324","0.3476","0.3778","0.4378","0.4148","0.4065","0.4089","0.4427","0.4563","0.4152","0.4542","0.4567","0.4569","0.4526","0.4721","0.4739","0.4576","0.4843","0.5085","0.495","0.4969","0.4999","0.5023","0.5062","0.5086","0.5071","0.5247","0.5347","0.5212","0.5278","0.5279","",
"Angola","AGO","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","0.0457","0.0438","0.0475","0.0515","0.0529","0.0507","0.0388","0.0578","0.0619","0.0621","0.0626","0.0593","0.0591","0.0606","0.0616","0.0622","0.0628","0.0639","0.0642","0.0648","0.0488","0.051","0.0532","0.0527","0.0507","0.0576","0.0675","0.0704","0.0756","0.0763","0.072","0.07","0.0681","0.0676","0.0668","0.0652","0.0608","0.0582","0.0586","0.0586","0.064","0.0648","0.0601","0.0602","0.0631","0.0688","0.0711","0.0677","0.061","0.0583","0.0556","0.0554","0.0558","0.0569","",
"Albania","ALB","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","0.0015","0.0015","0.0018","0.0012","0.0017","0.0015","0.0015","0.002","0.0016","0.0015","0.0016","0.0016","0.0016","0.0015","0.0016","0.0017","0.0017","0.0013","0.001","0.0005","0.0004","0.0003","0.0003","0.0003","0.0005","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0003","0.0002","0.0003","0.0002","0.0004","0.0006","0.0002","0.0001","0.0001","0.0002","0.0001","0.0002","0.0003","0.0006","0.0005","0.0003","0.0003","0.0003","0.0002","0.0002","0.0002","",
"Andorra","AND","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","0.6857","0.7491","0.829","0.9791","0.9086","0.8584","1.0259","0.9896","0.9742","0.9062","0.8481","0.6004","0.5293","0.4784","0.4152","0.4202","0.4248","0.4041","0.4119","0.4108","0.4138","0.4677","0.4413","0.4441","0.4874","0.5029","0.518","0.5268","0.5071","0.5207","0.5481","0.5213","0.5151","0.5486","0.5405","0.5363","0.5484","0.5207","0.5327","0.526","0.5404","0.5293","0.6032","0.599","0.6347","0.6343","0.6413","0.6644","0.6758","0.6831","0.6666","0.6877","0.6946","0.6914","",
"United Arab Emirates","ARE","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","0.061","0.0826","0.0906","0.118","0.1183","0.1151","0.1424","0.1281","0.1463","0.0845","0.079","0.0518","0.0437","0.042","0.0583","0.0509","0.0321","0.0228","0.0149","0.0128","0.0125","0.014","0.0153","0.016","0.0171","0.0173","0.0183","0.0161","0.0145","0.0141","0.0154","0.014","0.0127","0.0138","0.0127","0.013","0.0137","0.0133","0.0129","0.0124","0.0131","0.0139","0.0143","0.0167","0.0144","0.0153","0.0143","0.0153","0.0171","0.015","0.0147","0.0142","0.0158","0.0155","",
"Argentina","ARG","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","0.0367","0.0365","0.0356","0.0336","0.0314","0.0338","0.0316","0.0376","0.0361","0.0384","0.0375","0.0317","0.0307","0.0313","0.0329","0.0312","0.0276","0.0275","0.0307","0.0292","0.0262","0.0261","0.0281","0.0286","0.0289","0.0312","0.027","0.0279","0.0278","0.0283","0.0251","0.0259","0.0258","0.0258","0.0242","0.0234","0.0232","0.0234","0.024","0.0258","0.0244","0.0246","0.0258","0.028","0.0288","0.0291","0.0264","0.0262","0.0275","0.0294","0.0291","0.0305","0.0283","0.0282","",
"Armenia","ARM","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"American Samoa","ASM","Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.N2O.FE.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
