"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","EN.GHG.N2O.WA.MT.CE.AR5","","","","","","","","","","","0.0004","0.0005","0.0005","0.0004","0.0004","0.0004","0.0004","0.0005","0.0005","0.0005","0.0006","0.0006","0.0006","0.0005","0.0006","0.0006","0.0007","0.0007","0.0007","0.0007","0.0007","0.0007","0.0007","0.0007","0.0007","0.0008","0.0008","0.0008","0.0008","0.0008","0.0008","0.0008","0.0008","0.0008","0.0009","0.0009","0.0009","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.0011","0.0011","0.0011","0.0011","0.0011","0.0011","0.0011","0.0011","",
"Africa Eastern and Southern","AFE","Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","EN.GHG.N2O.WA.MT.CE.AR5","","","","","","","","","","","1.5107","1.5511","1.5864","1.6168","1.6615","1.7218","1.7718","1.8526","1.909","1.9503","2.0134","2.0417","2.0975","2.1703","2.1467","2.2547","2.2813","2.3452","2.4019","2.4612","2.5386","2.5899","2.6922","2.7786","2.8685","2.938","3.0406","3.1134","3.2287","3.3305","3.0802","3.5206","3.6474","3.7693","3.9147","4.0608","4.2188","4.3537","4.5085","4.7499","5.0056","5.2716","5.4746","5.6348","5.7951","5.9376","6.0773","6.2111","6.3289","6.4737","6.6237","6.8131","6.9601","7.1115","",
"Afghanistan","AFG","Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","EN.GHG.N2O.WA.MT.CE.AR5","","","","","","","","","","","0.0579","0.061","0.064","0.0671","0.0701","0.0732","0.0762","0.0793","0.0823","0.0854","0.0884","0.0914","0.0945","0.0975","0.1006","0.1036","0.1067","0.1097","0.1128","0.1158","0.1211","0.1219","0.1268","0.1364","0.1433","0.1543","0.1642","0.1719","0.1703","0.1688","0.1727","0.1802","0.1915","0.2083","0.2178","0.2248","0.2339","0.2449","0.257","0.2689","0.2794","0.2882","0.2942","0.3078","0.3194","0.3307","0.3379","0.3447","0.3486","0.3535","0.3615","0.3729","0.3799","0.3871","",
"Africa Western and Central","AFW","Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","EN.GHG.N2O.WA.MT.CE.AR5","","","","","","","","","","","1.0288","1.0331","0.9734","1.0358","1.1122","1.1299","1.1388","1.1234","1.1611","1.2132","1.277","1.3258","1.3625","1.3325","1.3817","1.4922","1.5818","1.629","1.6979","1.7852","1.8161","1.9044","1.9836","2.048","2.143","2.2234","2.3197","2.4097","2.4911","2.5609","2.6053","2.6759","2.7726","2.8895","3.0292","3.1653","3.3023","3.4336","3.5733","3.7054","3.8234","3.9187","4.0126","4.1221","4.226","4.3473","4.4625","4.609","4.7562","4.8863","5.0042","5.1356","5.2701","5.4086","",
"Angola","AGO","Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","EN.GHG.N2O.WA.MT.CE.AR5","","","","","","","","","","","0.0433","0.0452","0.0452","0.0431","0.0463","0.0474","0.0486","0.0556","0.0583","0.0601","0.062","0.0654","0.0651","0.0661","0.0669","0.0734","0.0679","0.0695","0.0696","0.0697","0.0651","0.0652","0.0676","0.0717","0.0762","0.0807","0.0856","0.0877","0.0902","0.0952","0.1111","0.1148","0.1226","0.1288","0.1357","0.1429","0.1539","0.1675","0.1809","0.1859","0.19","0.1973","0.2128","0.2339","0.2463","0.2526","0.254","0.259","0.262","0.2685","0.2745","0.2863","0.2927","0.2994","",
"Albania","ALB","Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","EN.GHG.N2O.WA.MT.CE.AR5","","","","","","","","","","","0.0528","0.0542","0.0561","0.058","0.0603","0.0614","0.0657","0.0692","0.0699","0.0702","0.0718","0.0756","0.0763","0.0801","0.081","0.081","0.0856","0.0847","0.0889","0.0909","0.0888","0.0914","0.0939","0.0939","0.0941","0.0926","0.093","0.093","0.0945","0.0961","0.0975","0.0986","0.1006","0.102","0.1029","0.1038","0.1045","0.1052","0.106","0.1075","0.109","0.1108","0.1126","0.1138","0.1155","0.1174","0.1194","0.1207","0.1221","0.125","0.1262","0.1277","0.1294","0.131","",
"Andorra","AND","Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","EN.GHG.N2O.WA.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","EN.GHG.N2O.WA.MT.CE.AR5","","","","","","","","","","","1.2376","1.2822","1.3358","1.3752","1.4436","1.5058","1.5767","1.673","1.7804","1.8726","1.9779","2.0706","2.1625","2.2646","2.3012","2.4256","2.5082","2.6027","2.725","2.7705","2.9062","2.9402","3.0224","3.1139","3.2229","3.3225","3.4381","3.5386","3.6535","3.741","3.4671","3.6201","3.7428","3.8825","3.9837","4.0963","4.243","4.3763","4.5128","4.7817","5.0456","5.3236","5.4963","5.6434","5.7268","5.8095","5.885","5.9865","6.1359","6.2542","6.3736","6.5203","6.6446","6.7726","",
"United Arab Emirates","ARE","Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","EN.GHG.N2O.WA.MT.CE.AR5","","","","","","","","","","","0.0039","0.0043","0.0053","0.0072","0.0093","0.011","0.0134","0.0153","0.0176","0.0194","0.0216","0.0228","0.0259","0.0266","0.0279","0.028","0.0294","0.0311","0.0323","0.0335","0.0344","0.0369","0.0404","0.0429","0.0455","0.0466","0.049","0.0519","0.0551","0.0582","0.0634","0.0668","0.0723","0.0778","0.082","0.0887","0.101","0.1182","0.1345","0.1331","0.1316","0.1283","0.1342","0.139","0.1214","0.1355","0.1391","0.1405","0.1371","0.1344","0.1395","0.1468","0.1507","0.1547","",
"Argentina","ARG","Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","EN.GHG.N2O.WA.MT.CE.AR5","","","","","","","","","","","0.437","0.4062","0.3959","0.4115","0.4496","0.4751","0.4781","0.4854","0.5021","0.5096","0.5173","0.5252","0.4931","0.4854","0.5083","0.5423","0.5184","0.5423","0.5338","0.5303","0.5214","0.5454","0.5658","0.5776","0.5794","0.5867","0.6014","0.6188","0.6319","0.639","0.6108","0.6177","0.5992","0.5847","0.6041","0.6237","0.6456","0.659","0.6658","0.6775","0.6845","0.6964","0.7108","0.7226","0.7445","0.7549","0.772","0.7846","0.8147","0.828","0.8416","0.8552","0.8718","0.8888","",
